
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-214	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.083	31.888	925	100.000	20.950	53.117	21.678	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.050	31.225	925	100.000	20.950	53.179	21.812	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.954	34.587	925	100.000	20.950	52.650	20.246	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.681	33.639	925	100.000	20.950	53.037	21.189	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/15/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/15/2021	13:36:49	1.20		7.9673	7.6627	7.5503	7.6618	22.498	22.498	22.498	22.498	925.00	19.515	22.498	---	---	22.301	22.845	21.622	22.371	282.537	256.309	265.966	245.314	4.721	4.658	7.030	116.987	
7/15/2021	13:36:50	2.48		7.9663	7.6653	7.5538	7.6640	22.497	22.497	22.497	22.497	925.02	19.421	22.497	---	---	22.303	22.841	21.617	22.368	282.523	256.265	265.927	245.310	4.736	4.668	7.002	116.511	
7/15/2021	13:36:51	3.55		7.9670	7.6646	7.5554	7.6647	22.503	22.503	22.503	22.503	924.98	19.339	22.503	---	---	22.300	22.841	21.613	22.365	282.519	256.240	265.861	245.343	4.750	4.658	7.004	116.294	
7/15/2021	13:36:53	4.63		7.9663	7.6701	7.5587	7.6637	22.502	22.502	22.502	22.502	924.98	19.273	22.502	---	---	22.302	22.833	21.608	22.367	282.506	256.226	265.804	245.324	4.744	4.617	7.008	116.280	
7/15/2021	13:36:54	5.70		7.9684	7.6705	7.5598	7.6680	22.503	22.503	22.503	22.503	924.97	19.220	22.503	---	---	22.298	22.832	21.606	22.360	282.493	256.222	265.767	245.296	4.747	4.621	7.029	116.465	
7/15/2021	13:36:55	6.77		7.9712	7.6723	7.5620	7.6693	22.498	22.498	22.498	22.498	924.98	19.166	22.498	---	---	22.296	22.830	21.604	22.360	282.489	256.215	265.756	245.251	4.764	4.633	7.004	116.316	
7/15/2021	13:36:56	7.85		7.9720	7.6672	7.5610	7.6690	22.498	22.498	22.498	22.498	924.99	19.126	22.498	---	---	22.295	22.838	21.606	22.360	282.473	256.170	265.759	245.213	4.794	4.671	7.007	116.327	
7/15/2021	13:36:57	8.92		7.9699	7.6667	7.5606	7.6703	22.497	22.497	22.497	22.497	924.98	19.153	22.497	---	---	22.298	22.839	21.607	22.359	282.469	256.177	265.761	245.183	4.792	4.664	7.010	116.347	
7/15/2021	13:36:58	10.01		7.9701	7.6663	7.5606	7.6718	22.496	22.496	22.496	22.496	924.99	19.273	22.496	---	---	22.298	22.840	21.607	22.357	282.472	256.194	265.765	245.174	4.781	4.654	7.006	116.488	
7/15/2021	13:36:59	11.09		7.9689	7.6687	7.5639	7.6742	22.498	22.498	22.498	22.498	925.00	19.408	22.498	---	---	22.299	22.836	21.602	22.352	282.503	256.242	265.765	245.151	4.781	4.641	7.008	116.471	
7/15/2021	13:37:00	12.16		7.9713	7.6682	7.5632	7.6749	22.499	22.499	22.499	22.499	925.00	19.490	22.499	---	---	22.295	22.836	21.602	22.351	282.502	256.236	265.763	245.131	4.789	4.659	7.006	116.402	
7/15/2021	13:37:01	13.26		7.9691	7.6675	7.5623	7.6764	22.502	22.502	22.502	22.502	925.01	19.543	22.502	---	---	22.297	22.836	21.603	22.348	282.485	256.245	265.764	245.092	4.795	4.648	7.031	116.482	
7/15/2021	13:37:02	14.33		7.9705	7.6667	7.5594	7.6758	22.504	22.504	22.504	22.504	925.01	19.622	22.504	---	---	22.295	22.837	21.606	22.348	282.458	256.215	265.751	245.101	4.782	4.654	7.037	116.518	
