
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1019	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.193	928	100.000	20.950	53.025	21.621	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.427	928	100.000	20.950	53.098	20.987	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.657	928	100.000	20.950	53.800	22.969	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.787	928	100.000	20.950	53.700	22.363	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/15/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/15/2021	11:17:50	0.00		8.2541	8.0577	8.1590	8.2585	19.106	19.106	19.106	19.106	926.80	17.719	19.106	---	---	22.623	22.271	24.012	23.262	208.831	220.622	172.451	260.808	4.214	4.586	6.236	39.750	
7/15/2021	11:17:51	1.47		8.2500	8.0567	8.1567	8.2625	19.107	19.107	19.107	19.107	926.79	17.625	19.107	---	---	22.628	22.273	24.015	23.256	208.968	221.408	172.435	260.825	4.233	4.595	6.252	39.795	
7/15/2021	11:17:52	2.55		8.2442	8.0601	8.1467	8.2654	19.110	19.110	19.110	19.110	926.79	17.490	19.110	---	---	22.635	22.266	24.029	23.250	209.105	225.450	172.449	260.843	4.222	4.594	6.267	39.814	
7/15/2021	11:17:53	3.63		8.2351	8.0543	8.1477	8.2629	19.113	19.113	19.113	19.113	926.76	17.396	19.113	---	---	22.647	22.274	24.026	23.253	209.217	229.330	172.449	260.862	4.239	4.582	6.258	39.789	
7/15/2021	11:17:55	4.74		8.2298	8.0540	8.1522	8.2600	19.112	19.112	19.112	19.112	926.77	17.289	19.112	---	---	22.655	22.274	24.020	23.257	209.278	231.999	172.406	260.847	4.233	4.577	6.248	39.817	
7/15/2021	11:17:56	5.81		8.2242	8.0538	8.1572	8.2556	19.105	19.105	19.105	19.105	926.77	17.211	19.105	---	---	22.665	22.277	24.015	23.266	209.422	232.014	172.358	260.841	4.196	4.549	6.231	39.834	
7/15/2021	11:17:57	6.90		8.2282	8.0571	8.1581	8.2572	19.097	19.097	19.097	19.097	926.80	17.145	19.097	---	---	22.663	22.275	24.017	23.267	209.518	232.476	172.339	260.806	4.204	4.574	6.261	39.892	
7/15/2021	11:17:58	7.99		8.2223	8.0559	8.1619	8.2535	19.089	19.089	19.089	19.089	926.82	17.132	19.089	---	---	22.674	22.279	24.014	23.275	209.628	233.046	172.374	260.785	4.183	4.563	6.248	39.947	
7/15/2021	11:17:59	9.06		8.2221	8.0536	8.1647	8.2556	19.081	19.081	19.081	19.081	926.80	17.145	19.081	---	---	22.677	22.285	24.013	23.274	209.646	234.630	172.506	260.792	4.183	4.596	6.232	39.961	
7/15/2021	11:18:00	10.14		8.2216	8.0541	8.1657	8.2566	19.074	19.074	19.074	19.074	926.78	17.170	19.074	---	---	22.680	22.287	24.014	23.275	209.707	234.784	172.516	260.788	4.212	4.560	6.226	39.934	
7/15/2021	11:18:01	11.23		8.2257	8.0561	8.1592	8.2637	19.071	19.071	19.071	19.071	926.76	17.211	19.071	---	---	22.675	22.285	24.024	23.266	209.759	234.787	172.540	260.834	4.260	4.571	6.215	39.901	
7/15/2021	11:18:02	12.30		8.2235	8.0536	8.1562	8.2630	19.071	19.071	19.071	19.071	926.75	17.264	19.071	---	---	22.678	22.289	24.028	23.267	209.796	234.105	172.449	260.784	4.235	4.534	6.220	39.945	
7/15/2021	11:18:03	13.38		8.2157	8.0545	8.1560	8.2595	19.072	19.072	19.072	19.072	926.77	17.305	19.072	---	---	22.689	22.287	24.028	23.272	209.901	234.191	172.467	260.779	4.218	4.537	6.208	39.985	
7/15/2021	11:18:04	14.50		8.2071	8.0532	8.1581	8.2589	19.075	19.075	19.075	19.075	926.77	17.330	19.075	---	---	22.700	22.288	24.024	23.272	210.046	234.124	172.460	260.800	4.184	4.540	6.196	39.883	
7/15/2021	11:18:05	15.57		8.2049	8.0525	8.1602	8.2583	19.081	19.081	19.081	19.081	926.78	17.330	19.081	---	---	22.701	22.287	24.019	23.270	210.204	234.448	172.456	260.849	4.207	4.560	6.167	39.438	
7/15/2021	11:18:06	16.65		8.1986	8.0477	8.1584	8.2600	19.090	19.090	19.090	19.090	926.78	17.330	19.090	---	---	22.707	22.291	24.019	23.265	210.203	234.560	172.489	260.911	4.215	4.557	6.149	39.296	
7/15/2021	11:18:08	17.76		8.1934	8.0452	8.1600	8.2525	19.096	19.096	19.096	19.096	926.79	17.330	19.096	---	---	22.712	22.293	24.014	23.274	210.091	234.800	172.510	260.951	4.208	4.565	6.191	39.676	
7/15/2021	11:18:09	18.97		8.1719	8.0387	8.1481	8.2340	19.127	19.127	19.127	19.127	926.81	17.330	19.127	---	---	22.732	22.292	24.021	23.290	210.023	234.838	172.541	260.990	4.216	4.582	6.250	40.545	
7/15/2021	11:18:10	20.06		8.1395	8.0163	8.1196	8.2060	19.224	19.224	19.224	19.224	926.79	17.330	19.224	---	---	22.746	22.292	24.029	23.297	210.111	234.879	172.548	261.013	4.211	4.594	6.279	41.142	
7/15/2021	11:18:11	21.40		8.1111	7.9881	8.0846	8.1752	19.353	19.353	19.353	19.353	926.77	17.343	19.353	---	---	22.743	22.289	24.036	23.297	210.264	234.953	172.540	261.012	4.206	4.572	6.273	41.380	
7/15/2021	11:18:13	22.70		8.0951	7.9602	8.0627	8.1571	19.462	19.462	19.462	19.462	926.77	17.355	19.462	---	---	22.730	22.293	24.031	23.286	210.420	235.014	172.518	261.017	4.210	4.568	6.283	41.478	
7/15/2021	11:18:14	24.13		8.0923	7.9499	8.0597	8.1519	19.493	19.493	19.493	19.493	926.78	17.383	19.493	---	---	22.723	22.298	24.025	23.283	210.479	235.062	172.499	261.018	4.194	4.560	6.297	41.543	
7/15/2021	11:18:15	25.21		8.0854	7.9483	8.0630	8.1519	19.479	19.479	19.479	19.479	926.79	17.399	19.479	---	---	22.738	22.305	24.025	23.288	210.528	235.096	172.523	261.021	4.198	4.564	6.299	41.558	
7/15/2021	11:18:16	26.28		8.0877	7.9535	8.0668	8.1530	19.453	19.453	19.453	19.453	926.79	17.414	19.453	---	---	22.743	22.306	24.028	23.295	210.570	235.095	172.585	261.065	4.219	4.547	6.281	41.623	
7/15/2021	11:18:17	27.36		8.0873	7.9565	8.0674	8.1559	19.435	19.435	19.435	19.435	926.77	17.414	19.435	---	---	22.750	22.308	24.033	23.297	210.639	235.080	172.618	261.161	4.229	4.565	6.291	41.690	
7/15/2021	11:18:18	28.44		8.0880	7.9550	8.0690	8.1556	19.428	19.428	19.428	19.428	926.77	17.414	19.428	---	---	22.751	22.312	24.033	23.300	210.750	235.067	172.634	261.270	4.234	4.577	6.288	41.792	
7/15/2021	11:18:19	29.53		8.0900	7.9613	8.0775	8.1614	19.392	19.392	19.392	19.392	926.75	17.414	19.392	---	---	22.761	22.315	24.033	23.304	210.838	235.118	172.651	261.330	4.175	4.582	6.312	41.797	
7/15/2021	11:18:20	30.60		8.1007	7.9732	8.0894	8.1732	19.337	19.337	19.337	19.337	926.75	17.414	19.337	---	---	22.764	22.316	24.035	23.305	210.919	235.151	172.695	261.329	4.191	4.589	6.297	41.722	
7/15/2021	11:18:22	31.67		8.1045	7.9820	8.0926	8.1821	19.304	19.304	19.304	19.304	926.73	17.399	19.304	---	---	22.769	22.314	24.041	23.304	210.962	235.169	172.716	261.341	4.196	4.604	6.291	41.668	
7/15/2021	11:18:23	32.75		8.1022	7.9815	8.0807	8.1830	19.312	19.312	19.312	19.312	926.77	17.383	19.312	---	---	22.770	22.312	24.056	23.300	211.019	235.186	172.693	261.352	4.224	4.603	6.283	41.600	
7/15/2021	11:18:24	33.82		8.0865	7.9766	8.0811	8.1759	19.343	19.343	19.343	19.343	926.78	17.368	19.343	---	---	22.782	22.309	24.045	23.300	211.125	235.209	172.665	261.389	4.220	4.606	6.289	41.611	
7/15/2021	11:18:25	34.91		8.0788	7.9779	8.0841	8.1768	19.360	19.360	19.360	19.360	926.81	17.368	19.360	---	---	22.788	22.301	24.035	23.292	211.238	235.212	172.654	261.388	4.224	4.564	6.308	41.579	
7/15/2021	11:18:26	35.98		8.0668	7.9732	8.0919	8.1713	19.381	19.381	19.381	19.381	926.79	17.368	19.381	---	---	22.798	22.301	24.016	23.293	211.341	235.203	172.636	261.391	4.214	4.573	6.281	41.603	
7/15/2021	11:18:27	37.06		8.0567	7.9640	8.0816	8.1659	19.408	19.408	19.408	19.408	926.79	17.368	19.408	---	---	22.803	22.305	24.022	23.292	211.392	235.200	172.619	261.367	4.200	4.575	6.268	41.734	
7/15/2021	11:18:28	38.14		8.0528	7.9636	8.0817	8.1640	19.415	19.415	19.415	19.415	926.77	17.368	19.415	---	---	22.807	22.304	24.019	23.292	211.440	235.174	172.593	261.318	4.194	4.600	6.268	41.730	
7/15/2021	11:18:29	39.25		8.0465	7.9748	8.0817	8.1667	19.408	19.408	19.408	19.408	926.74	17.383	19.408	---	---	22.818	22.290	24.022	23.291	211.490	235.061	172.592	261.283	4.223	4.597	6.271	41.570	
7/15/2021	11:18:31	40.88		8.0504	7.9903	8.0876	8.1769	19.387	19.387	19.387	19.387	926.75	17.411	19.387	---	---	22.820	22.274	24.020	23.283	211.571	234.944	172.551	261.256	4.237	4.596	6.249	41.142	
7/15/2021	11:18:32	41.96		8.0436	7.9996	8.0948	8.1905	19.368	19.368	19.368	19.368	926.76	17.452	19.368	---	---	22.836	22.267	24.016	23.269	211.663	234.795	172.487	261.272	4.221	4.568	6.145	40.059	
7/15/2021	11:18:33	43.03		8.0472	8.0088	8.1056	8.2024	19.348	19.348	19.348	19.348	926.80	17.490	19.348	---	---	22.838	22.261	24.007	23.259	211.782	234.698	172.390	261.237	4.194	4.559	6.101	39.573	
7/15/2021	11:18:34	44.10		8.0452	8.0232	8.1230	8.2060	19.329	19.329	19.329	19.329	926.80	17.516	19.329	---	---	22.847	22.246	23.988	23.260	211.897	234.585	172.296	261.022	4.170	4.526	6.093	39.216	
7/15/2021	11:18:35	45.21		8.0427	8.0339	8.1324	8.2048	19.318	19.318	19.318	19.318	926.80	17.529	19.318	---	---	22.854	22.234	23.978	23.266	211.975	234.488	172.243	260.860	4.177	4.532	6.147	39.794	
7/15/2021	11:18:36	46.28		8.0335	8.0406	8.1420	8.2078	19.311	19.311	19.311	19.311	926.79	17.544	19.311	---	---	22.870	22.227	23.966	23.264	212.035	234.406	172.207	260.684	4.201	4.541	6.177	39.937	
7/15/2021	11:18:37	47.38		8.0311	8.0458	8.1443	8.2158	19.308	19.308	19.308	19.308	926.77	17.544	19.308	---	---	22.874	22.221	23.964	23.254	212.110	234.341	172.182	260.695	4.203	4.558	6.193	40.126	
7/15/2021	11:18:38	48.47		8.0279	8.0508	8.1492	8.2138	19.310	19.310	19.310	19.310	926.73	17.544	19.310	---	---	22.878	22.212	23.956	23.256	212.197	234.332	172.141	259.790	4.192	4.576	6.201	40.028	
7/15/2021	11:18:39	49.55		8.0330	8.0604	8.1475	8.2170	19.306	19.306	19.306	19.306	926.72	17.516	19.306	---	---	22.872	22.200	23.960	23.252	212.240	234.364	172.118	259.128	4.162	4.559	6.177	39.913	
7/15/2021	11:18:40	50.62		8.0298	8.0709	8.1537	8.2255	19.291	19.291	19.291	19.291	926.72	17.503	19.291	---	---	22.882	22.190	23.956	23.245	212.267	234.409	172.094	258.505	4.170	4.549	6.174	39.783	
7/15/2021	11:18:42	51.72		8.0367	8.0834	8.1576	8.2376	19.271	19.271	19.271	19.271	926.74	17.518	19.271	---	---	22.878	22.179	23.957	23.234	212.323	234.421	172.043	258.788	4.182	4.546	6.168	39.816	
7/15/2021	11:18:43	52.80		8.0301	8.0936	8.1677	8.2553	19.246	19.246	19.246	19.246	926.73	17.559	19.246	---	---	22.896	22.172	23.951	23.217	212.406	234.368	171.979	258.823	4.207	4.562	6.198	39.878	
7/15/2021	11:18:44	53.87		8.0293	8.1006	8.1769	8.2559	19.232	19.232	19.232	19.232	926.76	17.640	19.232	---	---	22.902	22.167	23.942	23.221	212.507	234.266	171.946	258.890	4.183	4.560	6.199	39.953	
7/15/2021	11:18:45	54.96		8.0186	8.1070	8.1823	8.2590	19.232	19.232	19.232	19.232	926.75	17.694	19.232	---	---	22.918	22.158	23.934	23.217	212.586	234.203	171.903	258.664	4.182	4.558	6.195	39.969	
7/15/2021	11:18:46	56.04		8.0153	8.1078	8.1859	8.2528	19.236	19.236	19.236	19.236	926.75	17.748	19.236	---	---	22.922	22.156	23.928	23.225	212.617	233.956	171.865	259.110	4.166	4.537	6.188	40.078	
