
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	OFF	XB7-536-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	32.313	23.840	1012	100.000	20.950	51.478	21.896	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	31.333	25.686	1012	100.000	20.950	52.341	22.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.737	25.358	1012	100.000	20.950	52.476	22.656	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.009	26.167	1012	100.000	20.950	52.438	22.715	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/15/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/15/2021	11:33:11	0.00		9.0834	9.2082	---	8.0221	19.182	19.182	19.182	19.182	926.75	13.709	19.182	---	---	22.505	23.497	59.980	25.016	100.956	85.093	1.215	69.723	7.224	8.166	2499.254	69.774	
7/15/2021	11:33:12	1.30		9.0773	9.2177	---	8.0151	19.185	19.185	19.185	19.185	926.78	13.749	19.185	---	---	22.512	23.483	59.942	25.025	100.947	85.106	1.212	69.882	7.238	8.182	2499.290	70.375	
7/15/2021	11:33:13	2.41		9.0730	9.2255	---	8.0130	19.186	19.186	19.186	19.186	926.78	13.803	19.186	---	---	22.517	23.473	60.218	25.028	100.109	85.119	1.210	70.028	7.312	8.202	2499.298	70.571	
7/15/2021	11:33:14	3.51		9.0577	9.2313	---	8.0109	19.178	19.178	19.178	19.178	926.74	13.882	19.178	---	---	22.539	23.469	-59.609	25.034	99.381	85.121	1.207	70.142	7.312	8.215	2499.270	70.890	
7/15/2021	11:33:16	4.57		9.0553	9.2234	---	8.0212	19.172	19.172	19.172	19.172	926.70	13.973	19.172	---	---	22.544	23.481	-179.265	25.021	99.235	85.147	1.215	70.163	7.325	8.182	2499.245	71.024	
7/15/2021	11:33:17	5.56		9.0665	9.2289	---	8.0164	19.164	19.164	19.164	19.164	926.69	14.055	19.164	---	---	22.532	23.477	-59.699	25.031	100.222	85.138	1.221	70.181	7.284	8.203	2499.201	70.895	
7/15/2021	11:33:18	6.55		9.0631	9.2254	---	8.0219	19.164	19.164	19.164	19.164	926.68	14.108	19.164	---	---	22.537	23.481	-59.738	25.023	100.660	85.132	1.220	70.139	7.250	8.156	2499.215	70.238	
7/15/2021	11:33:19	7.62		9.0633	9.2270	---	8.0120	19.160	19.160	19.160	19.160	926.68	14.149	19.160	---	---	22.538	23.480	59.557	25.039	100.698	85.125	1.211	70.123	7.210	8.139	2499.183	69.749	
7/15/2021	11:33:20	8.64		9.0507	9.2209	---	8.0141	19.160	19.160	19.160	19.160	926.67	14.162	19.160	---	---	22.554	23.488	-60.097	25.036	100.494	85.126	1.210	70.131	7.233	8.112	2499.207	70.046	
7/15/2021	11:33:21	9.69		9.0530	9.2229	---	8.0080	19.155	19.155	19.155	19.155	926.71	14.162	19.155	---	---	22.552	23.487	-60.105	25.046	100.747	85.143	1.211	70.198	7.241	8.088	2499.211	71.962	
7/15/2021	11:33:22	10.69		9.0497	9.2224	---	8.0025	19.159	19.159	19.159	19.159	926.72	14.131	19.159	---	---	22.555	23.487	-179.531	25.053	100.798	85.123	1.209	70.242	7.258	8.113	2499.255	73.495	
7/15/2021	11:33:23	11.78		9.0460	9.2295	---	7.9981	19.161	19.161	19.161	19.161	926.76	14.118	19.161	---	---	22.559	23.477	-179.761	25.059	100.776	85.156	1.207	70.221	7.245	8.099	2499.249	71.893	
7/15/2021	11:33:24	12.77		9.0334	9.2277	---	8.0138	19.164	19.164	19.164	19.164	926.73	14.100	19.164	---	---	22.574	23.478	-59.954	25.035	100.819	85.153	1.214	70.175	7.236	8.117	2499.274	71.265	
