
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	OFF	XB7-536-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	32.313	23.840	1012	100.000	20.950	51.478	21.896	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	31.333	25.686	1012	100.000	20.950	52.341	22.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.737	25.358	1012	100.000	20.950	52.476	22.656	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.009	26.167	1012	100.000	20.950	52.438	22.715	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/16/2021	10:39:50	0.00		7.6740	7.7243	---	7.3341	22.390	22.390	22.390	22.390	927.70	18.241	22.390	---	---	23.396	24.494	-59.553	25.002	109.644	95.969	1.214	74.713	8.119	11.057	2499.201	330.273	
7/16/2021	10:39:51	1.32		7.6939	7.7351	---	7.3349	22.384	22.384	22.384	22.384	927.74	18.213	22.384	---	---	23.369	24.479	60.249	25.002	109.453	95.831	1.220	74.708	8.260	11.248	2499.240	330.371	
7/16/2021	10:39:52	2.54		7.7055	7.7589	---	7.3413	22.385	22.385	22.385	22.385	927.72	18.213	22.385	---	---	23.351	24.443	-59.581	24.992	109.264	95.685	1.218	74.788	8.227	11.267	2499.250	329.793	
7/16/2021	10:39:53	3.62		7.7182	7.7699	---	7.3355	22.388	22.388	22.388	22.388	927.73	18.225	22.388	---	---	23.331	24.425	59.749	25.000	109.106	95.551	1.223	74.798	8.111	11.104	2499.231	329.397	
7/16/2021	10:39:54	4.60		7.7367	7.7917	---	7.3273	22.393	22.393	22.393	22.393	927.74	18.238	22.393	---	---	23.302	24.391	59.593	25.012	108.983	95.431	1.227	74.847	7.983	10.972	2499.218	329.184	
7/16/2021	10:39:55	5.61		7.7543	7.8082	---	7.3293	22.393	22.393	22.393	22.393	927.76	18.238	22.393	---	---	23.276	24.366	179.462	25.009	108.886	95.331	1.224	74.866	7.862	10.934	2499.192	329.080	
7/16/2021	10:39:56	6.62		7.7770	7.8246	---	7.3288	22.394	22.394	22.394	22.394	927.74	18.213	22.394	---	---	23.242	24.340	179.660	25.009	108.759	95.210	1.220	74.883	7.974	11.106	2499.219	329.217	
7/16/2021	10:39:57	7.74		7.7893	7.8356	---	7.3333	22.395	22.395	22.395	22.395	927.71	18.172	22.395	---	---	23.224	24.323	59.881	25.001	108.614	95.108	1.208	74.897	8.158	11.240	2499.212	329.249	
7/16/2021	10:39:58	8.78		7.8083	7.8487	---	7.3263	22.401	22.401	22.401	22.401	927.66	18.119	22.401	---	---	23.194	24.302	59.906	25.011	108.447	94.995	1.215	74.824	8.187	11.307	2499.243	329.937	
7/16/2021	10:40:00	9.84		7.8294	7.8576	---	7.3165	22.403	22.403	22.403	22.403	927.67	18.078	22.403	---	---	23.162	24.288	59.669	25.026	108.326	94.902	1.219	74.804	8.210	11.317	2499.242	330.119	
7/16/2021	10:40:01	10.86		7.8523	7.8730	---	7.3092	22.404	22.404	22.404	22.404	927.69	18.053	22.404	---	---	23.128	24.264	59.851	25.037	108.200	94.779	1.218	74.765	8.114	11.150	2499.190	330.365	
7/16/2021	10:40:02	11.93		7.8715	7.8897	---	7.3154	22.402	22.402	22.402	22.402	927.69	18.053	22.402	---	---	23.101	24.240	-60.011	25.028	108.093	94.679	1.216	74.807	8.292	11.231	2499.185	329.991	
7/16/2021	10:40:03	12.93		7.8867	7.9084	---	7.3183	22.400	22.400	22.400	22.400	927.70	18.093	22.400	---	---	23.080	24.213	-179.523	25.024	107.974	94.582	1.210	74.777	8.049	11.054	2499.158	330.267	
