min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
1.92,0,19,7/26/2022 8:45,0.006,11.7624,0.0705744,A01,8.116164991,8.116164991,1,5.654283221,3.296732235,0,0,1,2.46188177,1.73241335,3.175950635,-0.011845,3.175950635,0.90758599,4.569482683,-0.12934
10,8,19,7/26/2022 8:53,0.006,5.799733333,0.0347984,A01,3.889261757,8.116164991,0.479199445,5.654283221,3.296732235,4.226903234,74.75577484,2.08681377,2.46188177,0.355840587,3.175950635,-0.011845,2.888816782,,4.569482683,-0.12934
20,18,19,7/26/2022 9:03,0.006,3.449333333,0.020696,A01,2.313099491,8.116164991,0.284999072,5.654283221,3.296732235,5.8030655,102.6313199,3.508783354,2.46188177,,3.175950635,-0.011845,2.566125054,,4.569482683,-0.12934
28,26,19,7/26/2022 9:11,0.006,6.604,0.039624,A01,4.428597518,8.116164991,0.54565149,5.654283221,3.296732235,3.687567473,65.21724026,1.832671621,2.46188177,0.676365019,3.175950635,-0.011845,2.334124794,,4.569482683,-0.12934
4.5,36,19,7/26/2022 9:21,0.006,7.432533333,0.0445952,A01,4.98420634,8.116164991,0.614108553,5.654283221,3.296732235,3.131958651,55.39090506,1.628376603,2.46188177,0.925180925,3.175950635,-0.011845,2.073394253,-0.800887599,4.569482683,-0.12934
4.5,46,19,7/26/2022 9:31,0.006,6.929866667,0.0415792,A01,4.64712149,8.116164991,0.572576025,5.654283221,3.296732235,3.469043501,61.35248917,1.746492965,2.46188177,0.781725534,3.175950635,-0.011845,1.841788297,-1.068709594,4.569482683,-0.12934
4.5,54,19,7/26/2022 9:39,0.006,5.338666667,0.032032,A01,3.580073584,8.116164991,0.441104091,5.654283221,3.296732235,4.536091407,80.22398648,2.267038596,2.46188177,0.111712929,3.175950635,-0.011845,1.675274446,,4.569482683,-0.12934
14.5,64,19,7/26/2022 9:49,0.006,5.685333333,0.034112,A01,3.812545894,8.116164991,0.469747214,5.654283221,3.296732235,4.303619096,76.11254916,2.128804536,2.46188177,0.300596415,3.175950635,-0.011845,1.488139973,,4.569482683,-0.12934
24.5,74,19,7/26/2022 9:59,0.006,6.066666667,0.0364,A01,4.068265436,8.116164991,0.501254649,5.654283221,3.296732235,4.047899555,71.58996811,1.994993965,2.46188177,0.473985482,3.175950635,-0.011845,1.321909127,-1.257111523,4.569482683,-0.12934
2.99,0,19,7/26/2022 8:46,0.0073,12.14011849,0.088622865,A02,8.815003053,8.815003053,1,5.756326912,2.881966788,0,0,1,3.058676141,1.750299582,3.175950635,-0.011845,3.175950635,0.947935232,4.569482683,-0.12934
