min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B_20,B_30,Bebt_20,ln_mo2_minus_Bebt_20,Bebt_30,ln_mo2_minus_Bebt_30,A_20,A_30,beta_20,beta_30,alpha_20,alpha_30,aas_80_mo2,aas_80_time,fas_3_mo2,time_fas_3,time_round
8.03,0,16,8/9/2022 10:39,0.0097,10.35125722,0.100407195,A05,8.092623747,8.092623747,100,5.779675953,3.498835455,0,0,1,2.312947794,5.779675953,1.754347618,4.046311874,2.279078056,1.792847253,2.279078056,1.252933781,1.792847253,1.382996103,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,41.3,2.697541249,105.6,0
4.5,8.5,16,8/9/2022 10:48,0.0097,6.978230722,0.067688838,A05,5.353258406,8.092623747,66.14984921,5.779675953,3.498835455,2.739365341,47.39652125,1.511719243,2.312947794,3.040310612,1.111959685,4.046311874,2.279078056,1.792847253,2.063908469,-0.023880745,1.692288069,0.298638736,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,10
14.5,18.5,16,8/9/2022 10:58,0.0097,5.03266732,0.048816873,A05,3.860744895,8.092623747,47.70696149,5.779675953,3.498835455,4.231878852,73.22000206,2.096130143,2.312947794,1.547797101,0.436832695,4.046311874,2.279078056,1.792847253,,,1.581180152,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,20
24.5,28.5,16,8/9/2022 11:08,0.0097,4.241543196,0.041142969,A05,3.253844373,8.092623747,40.20753312,5.779675953,3.498835455,4.838779374,83.72059979,2.48709613,2.312947794,0.940896579,-0.060922051,4.046311874,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,30
34.5,38.5,16,8/9/2022 11:18,0.0097,3.75354,0.036409338,A05,2.879479106,8.092623747,35.58152702,5.779675953,3.498835455,5.213144641,90.19787067,2.810447115,2.312947794,0.566531312,-0.568222927,4.046311874,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,40
44.5,48.5,16,8/9/2022 11:28,0.0097,3.987867526,0.038682315,A05,3.059240401,8.092623747,37.8028251,5.779675953,3.498835455,5.033383346,87.08763929,2.645304941,2.312947794,0.746292607,-0.292637521,4.046311874,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,50
54.5,58.5,16,8/9/2022 11:38,0.0097,3.775037938,0.036617868,A05,2.895970968,8.092623747,35.78531584,5.779675953,3.498835455,5.196652779,89.91252834,2.794442291,2.312947794,0.583023174,-0.539528344,4.046311874,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.468882985,,2.697541249,,60
1.48,0,16,8/9/2022 10:33,0.0203,9.970824236,0.202407732,A07,9.445297212,9.445297212,100,7.891960313,6.080649483,0,0,1,1.553336899,7.891960313,2.065844559,4.722648606,2.279078056,1.792847253,2.279078056,1.725064359,1.792847253,1.808143361,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,26.9,3.148432404,26.4,0
8,8,16,8/9/2022 10:39,0.0203,6.306883596,0.128029737,A07,5.94963747,9.445297212,62.99047385,7.891960313,6.080649483,3.495659742,44.29393463,1.587541638,1.553336899,4.396300571,1.480763408,4.722648606,2.279078056,1.792847253,2.075983464,0.84170386,1.698043999,0.99260585,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,10
4.5,16.5,16,8/9/2022 10:48,0.0203,4.593978571,0.093257765,A07,4.333757969,9.445297212,45.8827062,7.891960313,6.080649483,5.111539243,64.76894257,2.179470399,1.553336899,2.78042107,1.02260238,4.722648606,2.279078056,1.792847253,,,1.602802244,0.163494455,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,20
14.5,26.5,16,8/9/2022 10:58,0.0203,3.876520739,0.078693371,A07,3.656939706,9.445297212,38.71704218,7.891960313,6.080649483,5.788357506,73.34499005,2.582841931,1.553336899,2.103602807,0.743651497,4.722648606,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,30
24.5,36.5,16,8/9/2022 11:08,0.0203,3.533122118,0.071722379,A07,3.332992503,9.445297212,35.28732265,7.891960313,6.080649483,6.112304709,77.44976491,2.833878925,1.553336899,1.779655604,0.576419865,4.722648606,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,40
