min_start,min_start_real,t_mean,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
0,0,16.87,8/14/2021 11:14,0.0442,11.58291131,0.51196468,13.43269392,13.43269392,A01,16,100,11.42800529,0,0,1,2.004688629,11.42800529,2.436066947,6.71634696,3.501130793,-0.012281,3.501130793,2.070258822,5.841864444,-0.11956
12,11,16.84435688,8/14/2021 11:25,0.0442,5.498781538,0.243046144,6.450026499,13.43269392,A01,16,48.01737118,11.42800529,6.982667421,61.10136672,2.082579649,2.004688629,4.44533787,1.491855877,6.71634696,3.501130793,-0.012281,3.058715327,0.326870965,5.841864444,-0.11956
20,19,16.84435688,8/14/2021 11:33,0.0442,4.351976833,0.192357376,5.104833807,13.43269392,A01,16,38.00305313,11.42800529,8.327860113,72.87238588,2.631367529,2.004688629,3.100145178,1.131448942,6.71634696,3.501130793,-0.012281,2.772493234,,5.841864444,-0.11956
30.5,29,16.94,8/14/2021 11:43,0.0442,3.879195566,0.171460444,4.550265185,13.43269392,A01,16,33.87455422,11.42800529,8.882428735,77.72510171,2.952068368,2.004688629,2.545576556,0.934357169,6.71634696,3.501130793,-0.012281,2.452080873,,5.841864444,-0.11956
40.5,39,17.01,8/14/2021 11:53,0.0442,3.9076819,0.17271954,4.583679426,13.43269392,A01,16,34.12330731,11.42800529,8.849014494,77.43271262,2.930548294,2.004688629,2.578990797,0.947398158,6.71634696,3.501130793,-0.012281,2.168698027,,5.841864444,-0.11956
50.5,49,17.09,8/14/2021 12:03,0.0442,3.676115566,0.162484308,4.312053979,13.43269392,A01,16,32.1011854,11.42800529,9.120639941,79.80955302,3.115149761,2.004688629,2.30736535,0.836106332,6.71634696,3.501130793,-0.012281,1.918065258,,5.841864444,-0.11956
0,0,16.87,8/14/2021 11:14,0.0391,12.52641463,0.489782812,13.60920836,13.60920836,A02,16,100,11.54978102,0,0,1,2.059427341,11.54978102,2.446666477,6.80460418,3.501130793,-0.012281,3.501130793,2.085504404,5.841864444,-0.11956
12,11,16.84435688,8/14/2021 11:25,0.0391,5.524196496,0.215996083,6.261168732,13.60920836,A02,16,46.00685482,11.54978102,7.348039628,63.62059692,2.17358914,2.059427341,4.201741391,1.435499056,6.80460418,3.501130793,-0.012281,3.058715327,0.133679188,5.841864444,-0.11956
20,19,16.84435688,8/14/2021 11:33,0.0391,4.264719054,0.166750515,4.83366687,13.60920836,A02,16,35.5176197,11.54978102,8.77554149,75.98015473,2.81550399,2.059427341,2.774239529,1.020376666,6.80460418,3.501130793,-0.012281,2.772493234,,5.841864444,-0.11956
30.5,29,16.94,8/14/2021 11:43,0.0391,3.851970895,0.150612062,4.365854788,13.60920836,A02,16,32.08015244,11.54978102,9.243353572,80.03055258,3.11719217,2.059427341,2.306427447,0.835699768,6.80460418,3.501130793,-0.012281,2.452080873,,5.841864444,-0.11956
40.5,39,17.01,8/14/2021 11:53,0.0391,3.662427826,0.143200928,4.15102515,13.60920836,A02,16,30.50159157,11.54978102,9.45818321,81.89058471,3.278517443,2.059427341,2.091597809,0.737928276,6.80460418,3.501130793,-0.012281,2.168698027,,5.841864444,-0.11956
50.5,49,17.09,8/14/2021 12:03,0.0391,3.717322813,0.145347322,4.21324357,13.60920836,A02,16,30.9587704,11.54978102,9.39596479,81.35188688,3.230102446,2.059427341,2.153816229,0.767241259,6.80460418,3.501130793,-0.012281,1.918065258,,5.841864444,-0.11956
0,0,16.87,8/14/2021 11:25,0.0363,11.92599777,0.432913719,12.24524777,12.24524777,A03,16,100,10.5317325,0,0,1,1.713515275,10.5317325,2.354392842,6.122623885,3.501130793,-0.012281,3.501130793,1.950272293,5.841864444,-0.11956
8,8,16.86659833,8/14/2021 11:33,0.0363,5.689317769,0.206522235,6.315545145,12.24524777,A03,16,51.57547862,10.5317325,5.929702625,56.30320201,1.938905904,1.713515275,4.60202987,1.526497482,6.122623885,3.501130793,-0.012281,3.173509267,0.356639365,5.841864444,-0.11956
