date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
9/8/2022	10:47:06	0.818	8.918	16.637	8.682	8.71	9.125
9/8/2022	10:47:07	1.815	8.918	16.636	8.682	8.711	9.126
9/8/2022	10:47:08	2.819	8.917	16.635	8.679	8.708	9.129
9/8/2022	10:47:09	3.82	8.912	16.633	8.678	8.706	9.125
9/8/2022	10:47:10	4.817	8.913	16.634	8.681	8.711	9.123
9/8/2022	10:47:11	5.818	8.914	16.632	8.682	8.71	9.13
9/8/2022	10:47:12	6.819	8.908	16.634	8.679	8.708	9.123
9/8/2022	10:47:13	7.818	8.907	16.638	8.679	8.706	9.119
9/8/2022	10:47:14	8.82	8.914	16.643	8.678	8.705	9.126
9/8/2022	10:47:15	9.82	8.91	16.646	8.678	8.701	9.121
9/8/2022	10:47:16	10.818	8.91	16.643	8.674	8.701	9.127
9/8/2022	10:47:17	11.819	8.915	16.639	8.677	8.698	9.122
9/8/2022	10:47:18	12.82	8.912	16.639	8.682	8.704	9.133
9/8/2022	10:47:19	13.82	8.912	16.638	8.673	8.699	9.124
9/8/2022	10:47:20	14.821	8.911	16.638	8.679	8.693	9.125
9/8/2022	10:47:21	15.82	8.914	16.638	8.681	8.7	9.13
9/8/2022	10:47:22	16.821	8.913	16.637	8.676	8.699	9.126
9/8/2022	10:47:23	17.821	8.917	16.636	8.673	8.693	9.128
9/8/2022	10:47:24	18.82	8.909	16.638	8.675	8.691	9.124
9/8/2022	10:47:25	19.82	8.915	16.637	8.676	8.693	9.125
9/8/2022	10:47:26	20.822	8.91	16.638	8.676	8.688	9.125
9/8/2022	10:47:27	21.821	8.913	16.638	8.674	8.694	9.128
9/8/2022	10:47:28	22.827	8.91	16.638	8.675	8.69	9.126
9/8/2022	10:47:29	23.823	8.91	16.638	8.67	8.692	9.132
9/8/2022	10:47:30	24.821	8.919	16.636	8.673	8.687	9.126
9/8/2022	10:47:31	25.841	8.911	16.634	8.674	8.688	9.129
