date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
9/8/2022	10:59:22	0.153	8.775	16.789	8.706	8.443	9.098
9/8/2022	10:59:23	1.154	8.772	16.791	8.715	8.439	9.101
9/8/2022	10:59:24	2.155	8.774	16.793	8.703	8.44	9.101
9/8/2022	10:59:25	3.153	8.769	16.796	8.708	8.446	9.099
9/8/2022	10:59:26	4.153	8.769	16.796	8.708	8.435	9.098
9/8/2022	10:59:27	5.152	8.771	16.797	8.717	8.441	9.095
9/8/2022	10:59:28	6.154	8.766	16.795	8.715	8.449	9.098
9/8/2022	10:59:29	7.152	8.765	16.796	8.724	8.441	9.094
9/8/2022	10:59:30	8.154	8.775	16.797	8.722	8.443	9.097
9/8/2022	10:59:31	9.152	8.778	16.799	8.729	8.444	9.093
9/8/2022	10:59:32	10.153	8.774	16.801	8.722	8.451	9.093
9/8/2022	10:59:33	11.152	8.788	16.8	8.729	8.451	9.094
9/8/2022	10:59:34	12.165	8.786	16.799	8.729	8.45	9.09
9/8/2022	10:59:35	13.152	8.792	16.799	8.734	8.459	9.092
9/8/2022	10:59:36	14.153	8.792	16.799	8.737	8.453	9.097
9/8/2022	10:59:37	15.152	8.798	16.801	8.737	8.463	9.097
9/8/2022	10:59:38	16.153	8.807	16.798	8.747	8.463	9.093
9/8/2022	10:59:39	17.152	8.806	16.799	8.753	8.466	9.094
9/8/2022	10:59:40	18.158	8.814	16.798	8.753	8.462	9.096
9/8/2022	10:59:41	19.154	8.82	16.797	8.756	8.465	9.092
9/8/2022	10:59:42	20.154	8.829	16.799	8.766	8.474	9.095
9/8/2022	10:59:43	21.158	8.832	16.797	8.766	8.476	9.098
9/8/2022	10:59:44	22.156	8.835	16.8	8.767	8.481	9.097
9/8/2022	10:59:45	23.155	8.842	16.798	8.774	8.488	9.093
9/8/2022	10:59:46	24.155	8.848	16.798	8.783	8.486	9.097
9/8/2022	10:59:47	25.157	8.859	16.796	8.788	8.487	9.1
9/8/2022	10:59:48	26.158	8.859	16.796	8.792	8.491	9.096
9/8/2022	10:59:49	27.158	8.863	16.794	8.791	8.493	9.093
9/8/2022	10:59:50	28.158	8.872	16.795	8.796	8.495	9.095
9/8/2022	10:59:51	29.157	8.871	16.798	8.801	8.501	9.095
9/8/2022	10:59:52	30.164	8.879	16.799	8.802	8.498	9.099
9/8/2022	10:59:53	31.161	8.883	16.802	8.799	8.505	9.096
9/8/2022	10:59:54	32.158	8.889	16.8	8.807	8.51	9.097
9/8/2022	10:59:55	33.159	8.892	16.801	8.812	8.511	9.093
9/8/2022	10:59:56	34.161	8.899	16.799	8.815	8.512	9.094
9/8/2022	10:59:57	35.16	8.901	16.799	8.82	8.513	9.093
9/8/2022	10:59:58	36.16	8.914	16.799	8.815	8.515	9.099
9/8/2022	10:59:59	37.159	8.904	16.798	8.826	8.516	9.1
9/8/2022	11:00:00	38.159	8.917	16.801	8.828	8.52	9.095
9/8/2022	11:00:01	39.162	8.916	16.8	8.831	8.521	9.092
9/8/2022	11:00:02	40.162	8.919	16.8	8.828	8.52	9.095
9/8/2022	11:00:03	41.161	8.915	16.801	8.833	8.525	9.095
9/8/2022	11:00:04	42.162	8.929	16.8	8.836	8.531	9.095
9/8/2022	11:00:05	43.162	8.933	16.799	8.843	8.531	9.097
9/8/2022	11:00:06	44.164	8.937	16.798	8.844	8.535	9.098
9/8/2022	11:00:07	45.163	8.937	16.798	8.836	8.538	9.092
9/8/2022	11:00:08	46.163	8.941	16.798	8.841	8.537	9.096
9/8/2022	11:00:09	47.164	8.943	16.799	8.845	8.539	9.093
9/8/2022	11:00:10	48.168	8.943	16.799	8.843	8.54	9.091
9/8/2022	11:00:11	49.169	8.952	16.8	8.85	8.548	9.094
9/8/2022	11:00:12	50.162	8.949	16.8	8.852	8.547	9.094
9/8/2022	11:00:13	51.166	8.96	16.8	8.85	8.546	9.096
9/8/2022	11:00:14	52.163	8.956	16.8	8.851	8.548	9.093
9/8/2022	11:00:15	53.164	8.952	16.801	8.853	8.547	9.089
9/8/2022	11:00:16	54.167	8.961	16.802	8.852	8.547	9.099
9/8/2022	11:00:17	55.165	8.962	16.803	8.858	8.554	9.091
9/8/2022	11:00:18	56.167	8.964	16.801	8.865	8.556	9.09
9/8/2022	11:00:19	57.166	8.961	16.801	8.864	8.555	9.096
9/8/2022	11:00:20	58.166	8.967	16.802	8.855	8.556	9.092
9/8/2022	11:00:21	59.169	8.967	16.804	8.865	8.557	9.095
9/8/2022	11:00:22	60.168	8.967	16.806	8.868	8.559	9.094
9/8/2022	11:00:23	61.165	8.965	16.808	8.86	8.568	9.093
9/8/2022	11:00:24	62.167	8.972	16.806	8.869	8.562	9.091
9/8/2022	11:00:25	63.166	8.98	16.805	8.864	8.562	9.095
9/8/2022	11:00:26	64.168	8.974	16.806	8.874	8.561	9.096
9/8/2022	11:00:27	65.168	8.976	16.806	8.867	8.569	9.095
9/8/2022	11:00:28	66.168	8.986	16.805	8.864	8.569	9.093
9/8/2022	11:00:29	67.168	8.981	16.803	8.873	8.575	9.094
9/8/2022	11:00:30	68.167	8.986	16.801	8.868	8.57	9.1
9/8/2022	11:00:31	69.167	8.983	16.803	8.872	8.57	9.095
9/8/2022	11:00:32	70.166	8.99	16.803	8.876	8.573	9.096
9/8/2022	11:00:33	71.167	8.992	16.802	8.877	8.582	9.095
9/8/2022	11:00:34	72.168	8.992	16.799	8.87	8.581	9.093
9/8/2022	11:00:35	73.173	8.989	16.801	8.874	8.581	9.095
9/8/2022	11:00:36	74.171	8.998	16.801	8.878	8.581	9.093
9/8/2022	11:00:37	75.17	8.991	16.804	8.877	8.584	9.091
9/8/2022	11:00:38	76.169	8.993	16.806	8.88	8.589	9.09
9/8/2022	11:00:39	77.168	8.995	16.808	8.878	8.584	9.088
9/8/2022	11:00:40	78.171	9.003	16.805	8.88	8.58	9.094
9/8/2022	11:00:41	79.168	8.999	16.804	8.878	8.584	9.093
9/8/2022	11:00:42	80.172	9	16.806	8.88	8.584	9.091
9/8/2022	11:00:43	81.172	8.995	16.807	8.884	8.583	9.092
9/8/2022	11:00:44	82.17	8.996	16.807	8.878	8.59	9.093
9/8/2022	11:00:45	83.171	9.001	16.807	8.886	8.594	9.09
9/8/2022	11:00:46	84.174	9	16.806	8.881	8.592	9.092
9/8/2022	11:00:47	85.172	8.999	16.807	8.88	8.59	9.089
9/8/2022	11:00:48	86.175	9.001	16.806	8.884	8.592	9.094
9/8/2022	11:00:49	87.173	9.008	16.807	8.88	8.591	9.089
9/8/2022	11:00:50	88.174	9.002	16.807	8.878	8.596	9.086
9/8/2022	11:00:51	89.174	9.008	16.806	8.894	8.6	9.09
9/8/2022	11:00:52	90.174	9.005	16.805	8.892	8.596	9.089
9/8/2022	11:00:53	91.175	9.004	16.805	8.889	8.597	9.092
9/8/2022	11:00:54	92.178	9.011	16.804	8.884	8.599	9.095
9/8/2022	11:00:55	93.176	9.009	16.806	8.884	8.604	9.096
9/8/2022	11:00:56	94.177	9.006	16.803	8.883	8.602	9.092
9/8/2022	11:00:57	95.179	9.009	16.801	8.889	8.603	9.096
9/8/2022	11:00:58	96.179	9.01	16.802	8.889	8.602	9.098
9/8/2022	11:00:59	97.18	9.011	16.804	8.889	8.607	9.092
