
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/9/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/9/2022	10:43:39	0.00		8.8035	8.9028	8.4283	8.8569	16.804	16.804	16.804	16.804	946.05	73.808	16.804	---	---	22.564	23.589	24.367	22.295	289.923	312.849	360.413	290.820	4.790	4.360	5.013	57.244	
8/9/2022	10:43:40	1.14		8.8020	8.9039	8.4256	8.8546	16.804	16.804	16.804	16.804	946.05	73.798	16.804	---	---	22.566	23.588	24.370	22.298	289.929	312.838	360.419	290.855	4.808	4.356	5.023	56.861	
8/9/2022	10:43:41	2.01		8.8052	8.9062	8.4237	8.8538	16.802	16.802	16.802	16.802	946.04	73.788	16.802	---	---	22.562	23.586	24.374	22.300	289.935	312.824	360.437	290.888	4.828	4.363	5.016	56.335	
8/9/2022	10:43:41	2.97		8.8047	8.9061	8.4239	8.8538	16.802	16.802	16.802	16.802	946.02	73.788	16.802	---	---	22.563	23.586	24.373	22.300	289.917	312.812	360.425	290.902	4.819	4.369	4.984	55.810	
8/9/2022	10:43:42	3.97		8.8040	8.9035	8.4222	8.8548	16.802	16.802	16.802	16.802	945.99	73.788	16.802	---	---	22.564	23.589	24.376	22.298	289.907	312.780	360.449	290.896	4.816	4.371	4.943	55.603	
8/9/2022	10:43:43	4.97		8.8049	8.9037	8.4231	8.8571	16.801	16.801	16.801	16.801	945.98	73.788	16.801	---	---	22.563	23.589	24.375	22.296	289.925	312.741	360.452	290.885	4.832	4.345	4.952	55.522	
8/9/2022	10:43:44	5.97		8.8052	8.9037	8.4231	8.8565	16.802	16.802	16.802	16.802	946.01	73.788	16.802	---	---	22.562	23.589	24.374	22.296	289.926	312.724	360.433	290.861	4.833	4.354	4.958	55.951	
8/9/2022	10:43:45	6.97		8.8101	8.9056	8.4279	8.8579	16.804	16.804	16.804	16.804	946.03	73.780	16.804	---	---	22.555	23.586	24.367	22.294	289.894	312.750	360.357	290.786	4.841	4.347	4.966	55.866	
8/9/2022	10:43:46	7.97		8.8094	8.9057	8.4316	8.8607	16.806	16.806	16.806	16.806	946.04	73.773	16.806	---	---	22.555	23.585	24.361	22.289	289.834	312.757	360.269	290.710	4.845	4.361	5.054	56.674	
8/9/2022	10:43:47	8.97		8.8114	8.9041	8.4368	8.8690	16.806	16.806	16.806	16.806	946.03	73.765	16.806	---	---	22.553	23.587	24.354	22.279	289.775	312.770	360.138	290.640	4.849	4.372	5.062	56.682	
8/9/2022	10:43:48	9.97		8.8129	8.9022	8.4410	8.8738	16.804	16.804	16.804	16.804	946.03	73.765	16.804	---	---	22.551	23.590	24.349	22.273	289.718	312.749	359.981	290.578	4.836	4.377	5.031	52.915	
8/9/2022	10:43:49	10.97		8.8207	8.9010	8.4487	8.8772	16.805	16.805	16.805	16.805	946.05	73.765	16.805	---	---	22.541	23.591	24.338	22.268	289.639	312.759	359.770	290.479	4.812	4.373	4.891	45.866	
8/9/2022	10:43:50	11.97		8.8248	8.9003	8.4586	8.8814	16.805	16.805	16.805	16.805	946.06	73.755	16.805	---	---	22.535	23.592	24.324	22.263	289.571	312.743	359.542	290.396	4.794	4.361	4.838	38.519	
