
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.420	19.486	945	100.000	20.950	53.089	23.442	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/10/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/10/2022	10:50:47	0.00		8.1137	8.0507	7.6178	7.9566	24.871	24.871	24.871	24.871	950.91	62.084	24.871	---	---	23.076	22.446	22.532	22.535	120.527	67.030	87.308	177.890	4.305	4.387	5.443	40.233	
8/10/2022	10:50:48	1.44		8.1161	8.0513	7.6106	7.9591	24.871	24.871	24.871	24.871	950.89	62.084	24.871	---	---	23.073	22.445	22.543	22.532	120.532	67.167	87.314	179.430	4.472	4.295	5.440	40.326	
8/10/2022	10:50:50	2.53		8.1083	8.0588	7.6108	7.9634	24.871	24.871	24.871	24.871	950.88	62.084	24.871	---	---	23.084	22.434	22.542	22.526	120.549	67.320	87.346	181.055	4.357	4.662	5.656	40.013	
8/10/2022	10:50:51	3.73		8.1045	8.0615	7.6092	7.9619	24.871	24.871	24.871	24.871	950.88	62.084	24.871	---	---	23.090	22.431	22.545	22.528	120.549	67.324	87.333	181.215	4.236	4.692	5.805	39.514	
8/10/2022	10:50:52	4.81		8.1015	8.0613	7.6076	7.9596	24.871	24.871	24.871	24.871	950.91	62.084	24.871	---	---	23.094	22.431	22.547	22.531	120.557	67.325	87.329	181.296	4.566	4.718	5.667	39.583	
8/10/2022	10:50:53	5.93		8.1034	8.0637	7.6036	7.9611	24.869	24.869	24.869	24.869	950.92	62.084	24.869	---	---	23.092	22.428	22.554	22.530	120.529	67.332	87.315	181.312	4.217	4.688	5.776	39.618	
8/10/2022	10:50:54	7.00		8.1061	8.0648	7.5991	7.9556	24.872	24.872	24.872	24.872	950.91	62.084	24.872	---	---	23.087	22.426	22.560	22.537	120.515	67.321	87.330	181.376	3.823	4.579	5.743	39.789	
8/10/2022	10:50:55	8.08		8.1081	8.0562	7.6058	7.9515	24.873	24.873	24.873	24.873	950.88	62.084	24.873	---	---	23.084	22.437	22.549	22.542	120.501	67.310	87.332	181.378	3.669	4.516	5.866	39.418	
8/10/2022	10:50:56	9.36		8.1043	8.0500	7.6066	7.9480	24.875	24.875	24.875	24.875	950.87	62.084	24.875	---	---	23.089	22.445	22.548	22.547	120.546	67.308	87.344	181.425	3.888	4.390	5.655	39.731	
8/10/2022	10:50:57	10.44		8.1009	8.0473	7.6035	7.9531	24.872	24.872	24.872	24.872	950.87	62.084	24.872	---	---	23.094	22.450	22.553	22.540	120.574	67.297	87.342	181.406	4.265	4.508	5.696	39.935	
8/10/2022	10:50:59	11.52		8.0968	8.0460	7.5973	7.9526	24.871	24.871	24.871	24.871	950.82	62.084	24.871	---	---	23.101	22.452	22.563	22.542	120.591	67.316	87.330	181.448	4.226	4.635	5.571	40.052	
8/10/2022	10:51:00	12.60		8.0986	8.0395	7.5954	7.9518	24.872	24.872	24.872	24.872	950.79	62.074	24.872	---	---	23.098	22.461	22.565	22.542	120.588	67.314	87.333	181.435	3.985	4.463	5.760	39.804	
8/10/2022	10:51:01	13.67		8.1007	8.0424	7.5940	7.9481	24.873	24.873	24.873	24.873	950.82	62.064	24.873	---	---	23.094	22.457	22.567	22.547	120.598	67.335	87.331	181.414	3.875	4.510	5.289	38.958	
8/10/2022	10:51:02	14.75		8.1045	8.0438	7.5959	7.9515	24.872	24.872	24.872	24.872	950.87	62.064	24.872	---	---	23.089	22.455	22.565	22.543	120.603	67.338	87.351	181.416	4.056	4.435	4.951	36.733	
8/10/2022	10:51:03	15.85		8.1024	8.0563	7.5928	7.9457	24.871	24.871	24.871	24.871	950.91	62.064	24.871	---	---	23.093	22.438	22.570	22.552	120.564	67.349	87.346	181.401	4.371	4.750	4.436	32.424	
8/10/2022	10:51:04	16.92		8.0997	8.0558	7.6040	7.9478	24.869	24.869	24.869	24.869	950.87	62.064	24.869	---	---	23.097	22.439	22.553	22.549	120.537	67.362	87.363	181.391	4.205	4.477	4.525	29.135	
8/10/2022	10:51:05	18.01		8.1046	8.0465	7.6063	7.9384	24.870	24.870	24.870	24.870	950.89	62.054	24.870	---	---	23.089	22.452	22.549	22.562	120.549	67.361	87.355	181.363	4.174	4.548	4.712	29.782	
8/10/2022	10:51:06	19.12		8.1065	8.0349	7.6093	7.9388	24.872	24.872	24.872	24.872	950.85	62.054	24.872	---	---	23.086	22.468	22.544	22.561	120.611	67.373	87.354	181.388	4.243	4.578	5.035	32.193	
8/10/2022	10:51:07	20.20		8.1123	8.0331	7.6046	7.9389	24.872	24.872	24.872	24.872	950.88	62.054	24.872	---	---	23.078	22.470	22.551	22.561	120.647	67.386	87.339	181.442	4.727	4.851	4.852	34.542	
8/10/2022	10:51:08	21.27		8.0982	8.0340	7.5897	7.9409	24.875	24.875	24.875	24.875	950.88	62.054	24.875	---	---	23.098	22.468	22.573	22.557	120.677	67.504	87.348	181.453	4.800	4.776	4.613	34.551	
8/10/2022	10:51:09	22.36		8.0977	8.0386	7.5928	7.9387	24.877	24.877	24.877	24.877	950.87	62.054	24.877	---	---	23.098	22.461	22.568	22.560	120.722	67.699	87.363	181.427	4.900	4.759	4.723	34.535	
8/10/2022	10:51:10	23.44		8.0885	8.0427	7.5938	7.9401	24.878	24.878	24.878	24.878	950.85	62.054	24.878	---	---	23.111	22.455	22.566	22.558	120.781	67.875	87.375	181.396	4.856	4.754	4.992	33.629	
8/10/2022	10:51:12	24.53		8.0891	8.0389	7.6070	7.9429	24.879	24.879	24.879	24.879	950.84	62.054	24.879	---	---	23.109	22.459	22.545	22.553	120.811	67.912	87.386	181.424	4.501	4.376	4.976	33.056	
8/10/2022	10:51:13	25.73		8.0800	8.0315	7.6008	7.9503	24.880	24.880	24.880	24.880	950.87	62.064	24.880	---	---	23.122	22.470	22.555	22.542	120.809	67.893	87.405	181.475	4.327	4.334	4.502	32.145	
8/10/2022	10:51:14	26.82		8.0809	8.0129	7.5956	7.9433	24.882	24.882	24.882	24.882	950.88	62.074	24.882	---	---	23.120	22.495	22.562	22.552	120.840	67.878	87.425	181.492	4.376	4.032	4.602	32.517	
8/10/2022	10:51:15	28.02		8.0828	8.0220	7.5890	7.9415	24.881	24.881	24.881	24.881	950.85	62.084	24.881	---	---	23.118	22.483	22.573	22.555	120.866	67.890	87.434	181.498	4.608	4.175	4.832	32.631	
8/10/2022	10:51:16	29.09		8.0833	8.0185	7.5921	7.9383	24.881	24.881	24.881	24.881	950.86	62.084	24.881	---	---	23.117	22.488	22.568	22.559	120.876	67.876	87.425	181.486	4.686	4.149	5.183	33.413	
8/10/2022	10:51:17	30.22		8.0763	8.0369	7.5937	7.9394	24.881	24.881	24.881	24.881	950.86	62.084	24.881	---	---	23.127	22.462	22.565	22.558	120.880	67.874	87.428	181.501	4.698	4.245	4.974	33.748	
8/10/2022	10:51:18	31.28		8.0735	8.0389	7.5938	7.9399	24.882	24.882	24.882	24.882	950.88	62.084	24.882	---	---	23.131	22.459	22.565	22.557	120.877	67.881	87.425	181.490	4.236	4.427	4.896	33.968	
8/10/2022	10:51:19	32.36		8.0715	8.0468	7.5910	7.9324	24.883	24.883	24.883	24.883	950.87	62.084	24.883	---	---	23.134	22.448	22.569	22.567	120.907	67.874	87.439	181.524	4.295	4.421	4.789	34.201	
8/10/2022	10:51:21	33.47		8.0721	8.0384	7.5922	7.9293	24.882	24.882	24.882	24.882	950.86	62.084	24.882	---	---	23.133	22.460	22.567	22.572	120.920	67.873	87.423	181.518	4.039	4.628	4.913	33.931	
8/10/2022	10:51:22	34.55		8.0734	8.0321	7.5963	7.9274	24.883	24.883	24.883	24.883	950.84	62.084	24.883	---	---	23.131	22.468	22.561	22.575	120.943	67.882	87.426	181.527	4.168	4.329	5.072	33.769	
8/10/2022	10:51:23	35.62		8.0727	8.0311	7.6007	7.9321	24.882	24.882	24.882	24.882	950.82	62.084	24.882	---	---	23.132	22.470	22.554	22.568	120.949	67.892	87.418	181.503	4.127	4.041	4.973	33.693	
8/10/2022	10:51:24	36.72		8.0703	8.0379	7.5945	7.9360	24.884	24.884	24.884	24.884	950.82	62.084	24.884	---	---	23.135	22.460	22.563	22.562	120.947	67.879	87.435	181.518	4.260	3.973	4.807	34.042	
8/10/2022	10:51:25	37.79		8.0619	8.0303	7.5927	7.9323	24.884	24.884	24.884	24.884	950.81	62.084	24.884	---	---	23.147	22.470	22.566	22.567	120.980	67.875	87.435	181.505	4.306	4.319	4.666	34.082	
8/10/2022	10:51:26	38.93		8.0613	8.0335	7.5861	7.9290	24.883	24.883	24.883	24.883	950.84	62.084	24.883	---	---	23.148	22.466	22.576	22.572	121.001	67.876	87.431	181.488	3.953	4.654	4.940	33.648	
8/10/2022	10:51:27	40.01		8.0605	8.0191	7.5907	7.9257	24.885	24.885	24.885	24.885	950.85	62.084	24.885	---	---	23.149	22.486	22.568	22.576	121.024	67.873	87.427	181.466	3.943	4.462	4.814	33.495	
8/10/2022	10:51:28	41.17		8.0529	8.0246	7.5871	7.9249	24.887	24.887	24.887	24.887	950.89	62.094	24.887	---	---	23.159	22.477	22.573	22.577	121.019	67.869	87.455	181.481	4.139	4.251	4.902	33.672	
8/10/2022	10:51:29	42.26		8.0460	8.0145	7.5891	7.9262	24.888	24.888	24.888	24.888	950.88	62.094	24.888	---	---	23.169	22.491	22.570	22.575	121.034	67.881	87.491	181.450	4.468	4.182	4.878	34.065	
8/10/2022	10:51:30	43.34		8.0405	8.0228	7.5802	7.9266	24.888	24.888	24.888	24.888	950.87	62.094	24.888	---	---	23.177	22.479	22.583	22.574	121.052	67.830	87.510	181.475	4.107	4.392	5.305	34.268	
8/10/2022	10:51:31	44.41		8.0426	8.0371	7.5782	7.9278	24.888	24.888	24.888	24.888	950.86	62.084	24.888	---	---	23.174	22.459	22.586	22.572	121.073	67.760	87.516	181.451	4.115	4.646	5.357	34.389	
8/10/2022	10:51:33	45.49		8.0403	8.0467	7.5800	7.9265	24.888	24.888	24.888	24.888	950.86	62.094	24.888	---	---	23.177	22.446	22.584	22.574	121.091	67.666	87.506	181.600	3.684	4.785	5.373	34.869	
