
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.420	19.486	945	100.000	20.950	53.089	23.442	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/10/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/10/2022	11:05:24	0.00		7.5634	7.5343	7.2454	7.5452	24.971	24.971	24.971	24.971	950.73	60.042	24.971	---	---	23.869	23.163	23.078	23.123	124.532	70.175	88.979	186.777	3.816	4.230	5.233	38.811	
8/10/2022	11:05:25	1.42		7.5622	7.5415	7.2524	7.5441	24.972	24.972	24.972	24.972	950.72	60.012	24.972	---	---	23.870	23.151	23.067	23.124	124.529	70.154	88.921	186.735	4.020	4.231	5.191	37.970	
8/10/2022	11:05:26	2.58		7.5701	7.5466	7.2639	7.5505	24.970	24.970	24.970	24.970	950.69	59.991	24.970	---	---	23.859	23.144	23.049	23.115	124.502	70.106	88.855	186.671	3.987	4.210	5.234	38.187	
8/10/2022	11:05:27	3.65		7.5678	7.5695	7.2759	7.5514	24.971	24.971	24.971	24.971	950.67	59.971	24.971	---	---	23.862	23.110	23.030	23.113	124.434	70.029	88.767	186.606	4.323	4.273	5.070	38.705	
8/10/2022	11:05:28	4.73		7.5796	7.5821	7.2877	7.5604	24.970	24.970	24.970	24.970	950.68	59.961	24.970	---	---	23.844	23.092	23.012	23.099	124.345	69.960	88.710	186.484	3.976	4.321	5.396	40.300	
8/10/2022	11:05:30	5.94		7.5915	7.5941	7.3014	7.5695	24.971	24.971	24.971	24.971	950.73	59.950	24.971	---	---	23.825	23.074	22.990	23.085	124.270	69.914	88.638	186.347	4.360	4.428	5.583	41.820	
8/10/2022	11:05:31	7.03		7.6074	7.6012	7.3111	7.5822	24.970	24.970	24.970	24.970	950.71	59.940	24.970	---	---	23.801	23.063	22.975	23.066	124.171	69.839	88.566	186.178	4.394	4.382	5.817	42.138	
8/10/2022	11:05:32	8.17		7.6192	7.6246	7.3203	7.5929	24.971	24.971	24.971	24.971	950.71	59.932	24.971	---	---	23.782	23.028	22.960	23.049	124.033	69.774	88.488	186.071	4.569	4.420	5.761	42.146	
8/10/2022	11:05:33	9.27		7.6285	7.6363	7.3236	7.6039	24.969	24.969	24.969	24.969	950.70	59.925	24.969	---	---	23.768	23.011	22.955	23.033	123.910	69.708	88.415	185.964	4.414	4.398	5.600	41.768	
8/10/2022	11:05:34	10.34		7.6337	7.6436	7.3283	7.6094	24.971	24.971	24.971	24.971	950.72	59.917	24.971	---	---	23.760	23.000	22.947	23.024	123.810	69.679	88.356	185.888	4.112	4.391	5.703	42.177	
8/10/2022	11:05:35	11.42		7.6471	7.6330	7.3467	7.6150	24.970	24.970	24.970	24.970	950.69	59.917	24.970	---	---	23.739	23.016	22.918	23.015	123.711	69.613	88.299	185.760	3.909	4.284	5.651	41.920	
8/10/2022	11:05:36	12.51		7.6500	7.6351	7.3592	7.6192	24.973	24.973	24.973	24.973	950.68	59.907	24.973	---	---	23.734	23.012	22.898	23.008	123.627	69.549	88.248	185.660	3.831	4.298	5.539	42.054	
8/10/2022	11:05:37	13.57		7.6651	7.6544	7.3789	7.6267	24.971	24.971	24.971	24.971	950.68	59.897	24.971	---	---	23.712	22.984	22.868	22.997	123.549	69.491	88.181	185.515	4.067	4.423	5.324	42.118	
