date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
8/11/2022	12:04:04	0.67	7.754	22.167	8.032	8.096	8.496
8/11/2022	12:04:05	1.671	7.752	22.164	8.031	8.093	8.495
8/11/2022	12:04:06	2.671	7.751	22.164	8.035	8.089	8.494
8/11/2022	12:04:07	3.67	7.758	22.161	8.037	8.086	8.498
8/11/2022	12:04:08	4.671	7.748	22.162	8.036	8.089	8.499
8/11/2022	12:04:09	5.671	7.749	22.17	8.03	8.084	8.498
8/11/2022	12:04:10	6.672	7.745	22.178	8.031	8.074	8.492
8/11/2022	12:04:11	7.674	7.743	22.183	8.028	8.074	8.494
8/11/2022	12:04:12	8.673	7.746	22.185	8.031	8.073	8.494
8/11/2022	12:04:13	9.672	7.743	22.185	8.023	8.066	8.496
8/11/2022	12:04:14	10.672	7.737	22.189	8.029	8.063	8.491
8/11/2022	12:04:15	11.676	7.742	22.191	8.029	8.066	8.489
8/11/2022	12:04:16	12.674	7.737	22.189	8.021	8.065	8.492
8/11/2022	12:04:17	13.673	7.738	22.187	8.02	8.063	8.491
8/11/2022	12:04:18	14.673	7.745	22.184	8.023	8.059	8.493
8/11/2022	12:04:19	15.673	7.739	22.185	8.022	8.055	8.493
8/11/2022	12:04:20	16.674	7.735	22.187	8.022	8.054	8.497
8/11/2022	12:04:21	17.673	7.736	22.191	8.029	8.05	8.497
8/11/2022	12:04:22	18.673	7.732	22.188	8.02	8.053	8.497
8/11/2022	12:04:23	19.673	7.735	22.188	8.023	8.048	8.495
8/11/2022	12:04:24	20.674	7.732	22.189	8.02	8.042	8.498
8/11/2022	12:04:25	21.674	7.729	22.193	8.018	8.043	8.494
8/11/2022	12:04:26	22.673	7.724	22.199	8.02	8.038	8.485
8/11/2022	12:04:27	23.673	7.725	22.201	8.019	8.033	8.492
8/11/2022	12:04:28	24.674	7.726	22.2	8.017	8.028	8.491
8/11/2022	12:04:29	25.673	7.725	22.2	8.016	8.027	8.493
8/11/2022	12:04:30	26.674	7.725	22.2	8.017	8.026	8.493
8/11/2022	12:04:31	27.673	7.722	22.201	8.015	8.027	8.491
8/11/2022	12:04:32	28.675	7.715	22.199	8.017	8.017	8.498
