date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
12/8/2022	0:58:54	0.157	8.365	19.099	8.401	8.022	8.827
12/8/2022	0:58:55	1.156	8.355	19.102	8.4	8.016	8.824
12/8/2022	0:58:56	2.155	8.356	19.1	8.395	8.021	8.83
12/8/2022	0:58:57	3.156	8.358	19.098	8.396	8.025	8.823
12/8/2022	0:58:58	4.171	8.351	19.096	8.396	8.022	8.825
12/8/2022	0:58:59	5.169	8.349	19.097	8.399	8.02	8.825
12/8/2022	0:59:00	6.159	8.354	19.094	8.402	8.018	8.826
12/8/2022	0:59:01	7.158	8.358	19.093	8.402	8.022	8.824
12/8/2022	0:59:02	8.159	8.362	19.091	8.408	8.029	8.828
12/8/2022	0:59:03	9.159	8.361	19.092	8.408	8.033	8.825
12/8/2022	0:59:04	10.157	8.363	19.092	8.411	8.032	8.825
12/8/2022	0:59:05	11.16	8.363	19.091	8.414	8.037	8.823
12/8/2022	0:59:06	12.158	8.37	19.091	8.423	8.044	8.827
12/8/2022	0:59:07	13.16	8.372	19.092	8.425	8.045	8.824
12/8/2022	0:59:08	14.16	8.377	19.095	8.423	8.051	8.827
12/8/2022	0:59:09	15.16	8.378	19.096	8.43	8.054	8.822
12/8/2022	0:59:10	16.16	8.38	19.094	8.44	8.06	8.822
12/8/2022	0:59:11	17.159	8.389	19.094	8.44	8.06	8.821
12/8/2022	0:59:12	18.159	8.396	19.094	8.45	8.065	8.824
12/8/2022	0:59:13	19.16	8.401	19.096	8.451	8.066	8.823
12/8/2022	0:59:14	20.161	8.4	19.095	8.453	8.069	8.825
12/8/2022	0:59:15	21.161	8.403	19.093	8.46	8.08	8.823
12/8/2022	0:59:16	22.162	8.414	19.093	8.468	8.08	8.826
12/8/2022	0:59:17	23.167	8.417	19.092	8.473	8.088	8.828
12/8/2022	0:59:18	24.162	8.421	19.092	8.471	8.094	8.823
12/8/2022	0:59:19	25.161	8.421	19.095	8.481	8.104	8.825
12/8/2022	0:59:20	26.162	8.43	19.094	8.482	8.104	8.829
12/8/2022	0:59:21	27.163	8.436	19.094	8.491	8.105	8.832
12/8/2022	0:59:22	28.164	8.443	19.091	8.493	8.111	8.829
12/8/2022	0:59:23	29.165	8.448	19.091	8.495	8.116	8.826
