
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.420	19.486	945	100.000	20.950	53.089	23.442	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/12/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/12/2022	09:18:58	0.00		8.7995	8.7319	8.3547	8.6267	19.049	19.049	19.049	19.049	950.50	74.673	19.049	---	---	24.018	23.353	23.327	23.473	126.329	77.498	90.197	204.110	4.273	3.747	3.558	6.172	
8/12/2022	09:18:59	1.20		8.7948	8.7362	8.3495	8.6287	19.060	19.060	19.060	19.060	950.51	74.673	19.060	---	---	24.021	23.344	23.331	23.466	126.348	77.656	90.198	206.555	3.997	3.756	3.581	6.101	
8/12/2022	09:19:00	2.26		8.7813	8.7348	8.3447	8.6312	19.062	19.062	19.062	19.062	950.56	74.673	19.062	---	---	24.038	23.345	23.336	23.462	126.372	77.706	90.176	207.378	4.134	3.986	3.564	5.931	
8/12/2022	09:19:01	3.33		8.7817	8.7314	8.3407	8.6338	19.057	19.057	19.057	19.057	950.54	74.673	19.057	---	---	24.039	23.351	23.344	23.461	126.404	77.706	90.184	207.410	4.130	4.033	3.516	5.684	
8/12/2022	09:19:02	4.41		8.7840	8.7192	8.3429	8.6339	19.051	19.051	19.051	19.051	950.55	74.673	19.051	---	---	24.038	23.369	23.343	23.463	126.403	77.727	90.189	207.435	4.124	3.821	3.447	5.752	
8/12/2022	09:19:04	5.55		8.7929	8.7219	8.3420	8.6355	19.041	19.041	19.041	19.041	950.53	74.673	19.041	---	---	24.030	23.368	23.347	23.464	126.404	77.734	90.187	207.445	3.970	3.619	3.278	5.644	
8/12/2022	09:19:05	6.64		8.7879	8.7268	8.3445	8.6347	19.034	19.034	19.034	19.034	950.54	74.673	19.034	---	---	24.039	23.365	23.347	23.467	126.440	77.745	90.165	207.448	3.983	3.754	3.481	5.700	
8/12/2022	09:19:06	7.86		8.7881	8.7320	8.3490	8.6368	19.028	19.028	19.028	19.028	950.58	74.673	19.028	---	---	24.041	23.360	23.342	23.466	126.484	77.733	90.167	207.469	3.987	3.768	3.361	5.526	
8/12/2022	09:19:07	8.93		8.7847	8.7356	8.3518	8.6381	19.024	19.024	19.024	19.024	950.58	74.673	19.024	---	---	24.047	23.356	23.340	23.466	126.505	77.707	90.177	207.460	3.861	3.768	3.550	5.757	
8/12/2022	09:19:08	10.08		8.7889	8.7385	8.3516	8.6427	19.020	19.020	19.020	19.020	950.56	74.673	19.020	---	---	24.043	23.354	23.341	23.461	126.512	77.708	90.184	207.485	3.831	3.555	3.351	5.701	
8/12/2022	09:19:09	11.15		8.7927	8.7382	8.3538	8.6383	19.015	19.015	19.015	19.015	950.53	74.673	19.015	---	---	24.039	23.356	23.340	23.469	126.512	77.700	90.181	207.479	4.090	3.755	3.438	5.589	
8/12/2022	09:19:10	12.22		8.7942	8.7323	8.3512	8.6346	19.015	19.015	19.015	19.015	950.52	74.673	19.015	---	---	24.037	23.363	23.344	23.474	126.546	77.722	90.191	207.487	4.377	3.935	3.356	5.336	
8/12/2022	09:19:11	13.34		8.7943	8.7303	8.3509	8.6310	19.015	19.015	19.015	19.015	950.53	74.673	19.015	---	---	24.037	23.366	23.344	23.479	126.540	77.721	90.216	207.486	4.200	3.910	3.422	5.335	
8/12/2022	09:19:12	14.41		8.7900	8.7383	8.3503	8.6348	19.013	19.013	19.013	19.013	950.56	74.673	19.013	---	---	24.044	23.357	23.345	23.474	126.535	77.766	90.208	207.487	4.093	3.953	3.515	5.584	
8/12/2022	09:19:13	15.49		8.7911	8.7400	8.3499	8.6321	19.010	19.010	19.010	19.010	950.54	74.673	19.010	---	---	24.043	23.355	23.347	23.479	126.529	77.768	90.198	207.485	4.059	3.957	3.597	5.642	
8/12/2022	09:19:15	16.62		8.7939	8.7337	8.3496	8.6365	19.005	19.005	19.005	19.005	950.55	74.673	19.005	---	---	24.041	23.365	23.349	23.475	126.540	77.764	90.186	207.466	4.203	4.178	3.734	5.842	
8/12/2022	09:19:16	17.69		8.7984	8.7284	8.3423	8.6363	19.005	19.005	19.005	19.005	950.51	74.673	19.005	---	---	24.035	23.372	23.359	23.475	126.512	77.752	90.197	207.450	4.272	4.133	3.724	5.712	
8/12/2022	09:19:17	18.77		8.8037	8.7320	8.3479	8.6386	19.002	19.002	19.002	19.002	950.53	74.673	19.002	---	---	24.029	23.368	23.353	23.473	126.484	77.736	90.219	207.470	4.025	3.917	3.550	5.772	
8/12/2022	09:19:18	19.89		8.8109	8.7333	8.3545	8.6361	19.002	19.002	19.002	19.002	950.51	74.673	19.002	---	---	24.019	23.367	23.344	23.476	126.455	77.741	90.227	207.484	4.147	3.894	3.482	5.532	
8/12/2022	09:19:19	21.00		8.8132	8.7244	8.3575	8.6398	19.000	19.000	19.000	19.000	950.50	74.673	19.000	---	---	24.017	23.379	23.340	23.472	126.468	77.742	90.211	207.504	4.060	3.782	3.335	5.408	
8/12/2022	09:19:20	22.08		8.8099	8.7159	8.3499	8.6405	19.000	19.000	19.000	19.000	950.50	74.673	19.000	---	---	24.021	23.390	23.351	23.471	126.467	77.765	90.187	207.492	4.047	3.753	3.311	5.216	
8/12/2022	09:19:21	23.16		8.8034	8.7177	8.3464	8.6425	18.998	18.998	18.998	18.998	950.50	74.673	18.998	---	---	24.031	23.388	23.356	23.469	126.476	77.774	90.182	207.501	4.021	3.699	3.167	5.221	
8/12/2022	09:19:22	24.27		8.7994	8.7219	8.3418	8.6398	18.998	18.998	18.998	18.998	950.53	74.673	18.998	---	---	24.036	23.383	23.362	23.473	126.507	77.764	90.194	207.493	4.079	3.883	3.327	5.326	
8/12/2022	09:19:23	25.35		8.7952	8.7305	8.3446	8.6403	18.998	18.998	18.998	18.998	950.54	74.673	18.998	---	---	24.041	23.372	23.358	23.472	126.524	77.777	90.222	207.499	4.086	3.926	3.409	5.641	
8/12/2022	09:19:24	26.42		8.7877	8.7270	8.3434	8.6361	19.000	19.000	19.000	19.000	950.54	74.673	19.000	---	---	24.051	23.376	23.359	23.477	126.546	77.799	90.222	207.488	3.890	3.821	3.525	5.894	
8/12/2022	09:19:25	27.54		8.7830	8.7255	8.3495	8.6346	19.000	19.000	19.000	19.000	950.50	74.673	19.000	---	---	24.057	23.378	23.351	23.479	126.550	77.802	90.232	207.504	3.953	3.815	3.540	5.935	
8/12/2022	09:19:27	28.61		8.7785	8.7191	8.3524	8.6351	18.999	18.999	18.999	18.999	950.50	74.673	18.999	---	---	24.064	23.386	23.347	23.479	126.596	77.787	90.227	207.484	4.161	3.807	3.446	5.743	
8/12/2022	09:19:28	29.69		8.7716	8.7261	8.3422	8.6351	18.999	18.999	18.999	18.999	950.49	74.673	18.999	---	---	24.073	23.377	23.361	23.479	126.642	77.782	90.234	207.477	4.398	3.954	3.462	5.516	
8/12/2022	09:19:29	30.81		8.7671	8.7257	8.3369	8.6319	18.999	18.999	18.999	18.999	950.51	74.673	18.999	---	---	24.079	23.377	23.369	23.483	126.651	77.800	90.243	207.478	4.173	3.689	3.332	5.641	
8/12/2022	09:19:30	31.88		8.7655	8.7243	8.3357	8.6303	19.001	19.001	19.001	19.001	950.51	74.673	19.001	---	---	24.081	23.379	23.370	23.485	126.670	77.813	90.226	207.489	4.147	3.690	3.369	5.599	
8/12/2022	09:19:31	32.95		8.7651	8.7141	8.3444	8.6261	19.001	19.001	19.001	19.001	950.53	74.673	19.001	---	---	24.081	23.392	23.358	23.490	126.705	77.815	90.221	207.517	4.130	3.765	3.440	5.674	
8/12/2022	09:19:32	34.07		8.7628	8.7075	8.3453	8.6298	19.001	19.001	19.001	19.001	950.53	74.673	19.001	---	---	24.084	23.400	23.356	23.485	126.756	77.822	90.226	207.502	4.099	3.826	3.509	5.660	
8/12/2022	09:19:33	35.14		8.7647	8.7079	8.3432	8.6346	18.997	18.997	18.997	18.997	950.52	74.673	18.997	---	---	24.083	23.401	23.360	23.480	126.779	77.838	90.247	207.511	4.058	3.815	3.474	5.731	
8/12/2022	09:19:34	36.21		8.7657	8.7037	8.3384	8.6417	18.996	18.996	18.996	18.996	950.53	74.673	18.996	---	---	24.082	23.407	23.368	23.471	126.814	77.840	90.254	207.470	4.072	3.710	3.429	5.778	
8/12/2022	09:19:35	37.34		8.7657	8.7127	8.3454	8.6363	18.994	18.994	18.994	18.994	950.54	74.673	18.994	---	---	24.082	23.396	23.359	23.479	126.852	77.837	90.247	207.482	4.230	3.708	3.242	5.494	
8/12/2022	09:19:36	38.41		8.7574	8.7188	8.3446	8.6340	18.995	18.995	18.995	18.995	950.54	74.673	18.995	---	---	24.093	23.388	23.359	23.481	126.923	77.843	90.235	207.480	4.318	3.943	3.447	5.546	
8/12/2022	09:19:37	39.49		8.7509	8.7256	8.3524	8.6343	18.995	18.995	18.995	18.995	950.57	74.673	18.995	---	---	24.102	23.379	23.348	23.481	126.942	77.846	90.243	207.506	4.191	3.770	3.311	5.339	
8/12/2022	09:19:39	40.63		8.7458	8.7113	8.3480	8.6387	18.995	18.995	18.995	18.995	950.54	74.673	18.995	---	---	24.109	23.398	23.354	23.475	126.983	77.860	90.239	207.496	4.276	3.959	3.557	5.552	
8/12/2022	09:19:40	41.70		8.7401	8.7022	8.3420	8.6349	18.996	18.996	18.996	18.996	950.54	74.673	18.996	---	---	24.117	23.409	23.363	23.480	126.985	77.847	90.246	207.517	4.241	3.737	3.339	5.460	
8/12/2022	09:19:41	42.78		8.7360	8.7057	8.3354	8.6332	18.995	18.995	18.995	18.995	950.48	74.673	18.995	---	---	24.123	23.405	23.372	23.483	127.002	77.867	90.236	207.518	4.105	3.784	3.425	5.688	
8/12/2022	09:19:42	43.91		8.7294	8.7158	8.3370	8.6343	18.993	18.993	18.993	18.993	950.49	74.673	18.993	---	---	24.132	23.392	23.371	23.482	127.007	77.880	90.241	207.541	3.987	3.603	3.188	5.817	
8/12/2022	09:19:43	44.99		8.7241	8.7165	8.3454	8.6364	18.997	18.997	18.997	18.997	950.48	74.673	18.997	---	---	24.138	23.390	23.358	23.478	127.045	77.892	90.241	207.525	3.836	3.583	3.202	5.833	
8/12/2022	09:19:44	46.31		8.7229	8.7123	8.3493	8.6319	18.997	18.997	18.997	18.997	950.48	74.673	18.997	---	---	24.140	23.396	23.352	23.484	127.075	77.889	90.240	207.509	3.888	3.563	3.137	5.853	
