
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.420	19.486	945	100.000	20.950	53.089	23.442	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/12/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/12/2022	09:33:26	0.00		8.3315	8.3279	8.0655	8.4535	18.972	18.972	18.972	18.972	950.29	74.635	18.972	---	---	24.694	23.919	23.764	23.739	129.547	79.506	91.707	209.842	3.270	3.452	4.132	5.321	
8/12/2022	09:33:28	1.61		8.3282	8.3295	8.0595	8.4530	18.969	18.969	18.969	18.969	950.31	74.635	18.969	---	---	24.700	23.918	23.774	23.740	129.594	79.516	91.711	209.832	4.932	4.344	4.610	4.752	
8/12/2022	09:33:29	2.68		8.3332	8.3277	8.0521	8.4564	18.968	18.968	18.968	18.968	950.31	74.635	18.968	---	---	24.693	23.921	23.785	23.736	129.585	79.544	91.717	209.888	4.435	4.655	3.053	4.751	
8/12/2022	09:33:30	3.76		8.3347	8.3381	8.0557	8.4549	18.970	18.970	18.970	18.970	950.36	74.635	18.970	---	---	24.690	23.906	23.779	23.737	129.640	79.546	91.693	209.884	7.183	5.563	2.810	4.615	
8/12/2022	09:33:31	4.86		8.3373	8.3348	8.0603	8.4554	18.970	18.970	18.970	18.970	950.36	74.635	18.970	---	---	24.687	23.910	23.772	23.736	129.556	79.535	91.730	209.958	5.198	4.060	2.128	7.528	
8/12/2022	09:33:32	5.93		8.3473	8.3377	8.0690	8.4506	18.970	18.970	18.970	18.970	950.37	74.635	18.970	---	---	24.673	23.906	23.760	23.743	129.545	79.524	91.742	209.998	5.506	3.825	1.689	10.030	
8/12/2022	09:33:33	7.00		8.3513	8.3366	8.0754	8.4532	18.967	18.967	18.967	18.967	950.35	74.635	18.967	---	---	24.668	23.909	23.751	23.740	129.440	79.554	91.768	209.994	3.405	3.281	2.289	10.156	
8/12/2022	09:33:35	8.16		8.3587	8.3367	8.0749	8.4561	18.967	18.967	18.967	18.967	950.34	74.635	18.967	---	---	24.657	23.909	23.752	23.736	129.375	79.535	91.703	209.945	3.259	3.290	2.667	7.247	
8/12/2022	09:33:36	9.24		8.3546	8.3406	8.0872	8.4613	18.968	18.968	18.968	18.968	950.30	74.625	18.968	---	---	24.663	23.903	23.734	23.729	129.324	79.522	91.663	209.852	3.907	3.141	3.016	5.426	
8/12/2022	09:33:37	10.32		8.3539	8.3417	8.0846	8.4654	18.970	18.970	18.970	18.970	950.30	74.614	18.970	---	---	24.663	23.901	23.737	23.723	129.285	79.519	91.627	209.824	3.247	4.465	4.633	7.393	
8/12/2022	09:33:38	11.41		8.3587	8.3476	8.0922	8.4664	18.971	18.971	18.971	18.971	950.29	74.604	18.971	---	---	24.656	23.892	23.726	23.721	129.221	79.515	91.586	209.786	2.656	4.424	4.718	7.709	
8/12/2022	09:33:39	12.50		8.3710	8.3495	8.0935	8.4694	18.969	18.969	18.969	18.969	950.30	74.604	18.969	---	---	24.639	23.890	23.725	23.717	129.125	79.513	91.504	209.786	1.252	4.885	4.193	6.955	
8/12/2022	09:33:40	13.70		8.3942	8.3587	8.1062	8.4713	18.968	18.968	18.968	18.968	950.28	74.604	18.968	---	---	24.606	23.878	23.707	23.715	129.070	79.401	91.381	209.672	3.595	2.948	1.912	4.330	
