
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.804	27.615	989	100.000	20.950	52.916	21.596	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.132	28.005	989	100.000	20.950	53.216	20.952	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.291	28.246	989	100.000	20.950	53.287	20.479	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.439	28.354	989	100.000	20.950	53.161	21.890	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2021	11:49:31	0.00		7.1667	7.2712	7.1774	7.4897	16.646	16.646	16.646	16.646	994.64	64.373	16.646	---	---	23.433	22.633	22.315	23.282	222.046	252.408	233.875	185.978	4.161	4.124	3.912	17.757	
8/14/2021	11:49:32	1.44		7.1613	7.2691	7.1767	7.4900	16.644	16.644	16.644	16.644	994.65	64.373	16.644	---	---	23.442	22.638	22.317	23.283	221.999	252.414	233.874	185.956	4.089	4.128	4.002	18.098	
8/14/2021	11:49:33	2.51		7.1602	7.2684	7.1729	7.4897	16.643	16.643	16.643	16.643	994.64	64.373	16.643	---	---	23.444	22.639	22.323	23.283	221.944	252.401	233.866	185.953	4.113	4.192	4.084	18.265	
8/14/2021	11:49:35	3.60		7.1591	7.2659	7.1689	7.4874	16.645	16.645	16.645	16.645	994.63	64.373	16.645	---	---	23.446	22.642	22.329	23.286	221.897	252.382	233.873	185.923	4.138	4.238	4.227	18.968	
8/14/2021	11:49:36	4.74		7.1586	7.2665	7.1663	7.4844	16.650	16.650	16.650	16.650	994.61	64.373	16.650	---	---	23.445	22.640	22.331	23.289	221.885	252.383	233.885	185.943	4.040	4.154	4.175	18.945	
8/14/2021	11:49:37	5.81		7.1562	7.2651	7.1660	7.4900	16.652	16.652	16.652	16.652	994.61	64.373	16.652	---	---	23.448	22.641	22.331	23.280	221.891	252.401	233.890	185.928	4.108	4.193	4.177	18.767	
8/14/2021	11:49:38	6.87		7.1594	7.2692	7.1668	7.4943	16.651	16.651	16.651	16.651	994.60	64.373	16.651	---	---	23.443	22.635	22.330	23.274	221.868	252.378	233.901	185.941	4.073	4.142	4.188	18.725	
8/14/2021	11:49:39	7.97		7.1626	7.2712	7.1661	7.5011	16.646	16.646	16.646	16.646	994.61	64.365	16.646	---	---	23.439	22.633	22.333	23.264	221.858	252.347	233.909	185.902	4.196	4.225	4.258	18.857	
8/14/2021	11:49:40	9.03		7.1680	7.2748	7.1679	7.5004	16.644	16.644	16.644	16.644	994.57	64.358	16.644	---	---	23.431	22.628	22.331	23.266	221.800	252.312	233.898	185.894	4.162	4.255	4.269	19.210	
8/14/2021	11:49:41	10.10		7.1714	7.2777	7.1674	7.4989	16.645	16.645	16.645	16.645	994.55	64.350	16.645	---	---	23.425	22.623	22.331	23.268	221.693	252.252	233.872	185.861	4.038	4.167	4.082	18.224	
8/14/2021	11:49:42	11.18		7.1818	7.2817	7.1719	7.4936	16.645	16.645	16.645	16.645	994.54	64.358	16.645	---	---	23.408	22.617	22.324	23.277	224.175	252.148	233.806	185.868	3.979	4.127	4.058	17.309	
8/14/2021	11:49:43	12.39		7.1887	7.2870	7.1745	7.4944	16.643	16.643	16.643	16.643	994.57	64.365	16.643	---	---	23.398	22.609	22.320	23.276	226.664	251.991	233.745	185.848	4.026	4.016	3.878	16.251	
8/14/2021	11:49:44	13.46		7.1983	7.2936	7.1792	7.5001	16.633	16.633	16.633	16.633	994.58	64.373	16.633	---	---	23.385	22.602	22.316	23.270	229.186	251.859	233.675	185.832	4.111	4.128	4.050	17.464	
