
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2021	11:43:11	0.00		8.3443	8.9679	---	9.2592	17.686	17.686	17.686	17.686	994.53	65.067	17.686	---	---	21.879	22.939	59.933	22.815	283.995	113.735	1.216	73.888	7.336	7.993	2499.380	24.788	
8/14/2021	11:43:13	1.59		8.3372	8.9634	---	9.2668	17.684	17.684	17.684	17.684	994.53	65.098	17.684	---	---	21.890	22.945	60.024	22.806	284.251	113.755	1.216	73.902	7.378	8.047	2499.380	24.988	
8/14/2021	11:43:14	2.67		8.3348	8.9717	---	9.2617	17.677	17.677	17.677	17.677	994.52	65.128	17.677	---	---	21.896	22.937	179.852	22.815	284.423	113.766	1.217	73.893	7.370	8.008	2499.385	25.230	
8/14/2021	11:43:15	3.76		8.3380	8.9744	---	9.2698	17.672	17.672	17.672	17.672	994.53	65.149	17.672	---	---	21.893	22.935	179.774	22.807	284.439	113.773	1.216	73.905	7.345	7.995	2499.388	25.497	
8/14/2021	11:43:16	4.84		8.3368	8.9717	---	9.2734	17.676	17.676	17.676	17.676	994.51	65.159	17.676	---	---	21.893	22.938	179.762	22.801	284.476	113.759	1.215	73.923	7.266	7.967	2499.390	25.639	
8/14/2021	11:43:17	5.92		8.3346	8.9644	---	9.2713	17.682	17.682	17.682	17.682	994.54	65.169	17.682	---	---	21.894	22.945	59.959	22.801	284.462	113.751	1.214	73.919	7.245	7.994	2499.385	25.534	
8/14/2021	11:43:18	7.00		8.3301	8.9652	---	9.2645	17.691	17.691	17.691	17.691	994.52	65.179	17.691	---	---	21.897	22.941	60.038	22.807	284.474	113.744	1.217	73.879	7.253	7.962	2499.386	25.465	
8/14/2021	11:43:19	8.09		8.3273	8.9699	---	9.2564	17.697	17.697	17.697	17.697	994.53	65.197	17.697	---	---	21.899	22.933	-59.942	22.815	284.432	113.770	1.220	73.854	7.299	7.990	2499.384	25.187	
8/14/2021	11:43:21	9.16		8.3210	8.9677	---	9.2505	17.703	17.703	17.703	17.703	994.51	65.215	17.703	---	---	21.906	22.933	59.997	22.820	284.454	113.765	1.220	73.836	7.339	8.034	2499.386	25.221	
8/14/2021	11:43:22	10.25		8.3172	8.9631	---	9.2586	17.706	17.706	17.706	17.706	994.50	65.233	17.706	---	---	21.910	22.938	-59.992	22.809	284.416	113.759	1.219	73.854	7.377	8.068	2499.379	25.125	
8/14/2021	11:43:23	11.34		8.3173	8.9615	---	9.2606	17.705	17.705	17.705	17.705	994.49	65.243	17.705	---	---	21.910	22.941	59.999	22.807	284.446	113.759	1.217	73.837	7.374	8.036	2499.379	25.080	
8/14/2021	11:43:24	12.43		8.3188	8.9709	---	9.2675	17.703	17.703	17.703	17.703	994.51	65.243	17.703	---	---	21.909	22.929	-59.975	22.799	284.394	113.763	1.216	73.850	7.308	7.956	2499.375	25.061	
8/14/2021	11:43:25	13.52		8.3170	8.9721	---	9.2582	17.702	17.702	17.702	17.702	994.50	65.243	17.702	---	---	21.912	22.928	59.948	22.811	284.368	113.798	1.214	73.864	7.267	7.934	2499.379	25.166	
8/14/2021	11:43:26	14.63		8.3132	8.9662	---	9.2470	17.702	17.702	17.702	17.702	994.50	65.243	17.702	---	---	21.917	22.936	59.891	22.825	284.345	113.785	1.216	73.885	7.245	7.946	2499.374	25.287	
8/14/2021	11:43:27	15.71		8.3106	8.9560	---	9.2424	17.702	17.702	17.702	17.702	994.48	65.243	17.702	---	---	21.920	22.949	179.841	22.830	284.360	113.773	1.216	73.891	7.311	8.004	2499.374	25.324	
8/14/2021	11:43:28	16.79		8.3099	8.9576	---	9.2376	17.702	17.702	17.702	17.702	994.50	65.243	17.702	---	---	21.921	22.947	60.046	22.836	284.389	113.757	1.218	73.852	7.378	8.017	2499.378	25.176	
8/14/2021	11:43:29	17.88		8.3062	8.9599	---	9.2549	17.702	17.702	17.702	17.702	994.52	65.243	17.702	---	---	21.926	22.944	60.063	22.815	284.367	113.742	1.216	73.831	7.374	7.996	2499.387	25.108	
8/14/2021	11:43:30	18.96		8.3045	8.9607	---	9.2662	17.703	17.703	17.703	17.703	994.51	65.263	17.703	---	---	21.928	22.942	-59.909	22.800	284.348	113.763	1.216	73.816	7.367	7.987	2499.383	25.082	
8/14/2021	11:43:31	20.03		8.3022	8.9594	---	9.2673	17.705	17.705	17.705	17.705	994.52	65.284	17.705	---	---	21.931	22.943	59.923	22.799	284.340	113.751	1.214	73.837	7.338	7.995	2499.377	25.261	
8/14/2021	11:43:33	21.11		8.3017	8.9559	---	9.2491	17.707	17.707	17.707	17.707	994.52	65.304	17.707	---	---	21.931	22.947	-60.001	22.821	284.349	113.783	1.216	73.862	7.348	8.014	2499.375	25.281	
8/14/2021	11:43:34	22.19		8.3020	8.9528	---	9.2466	17.710	17.710	17.710	17.710	994.54	65.314	17.710	---	---	21.930	22.950	59.933	22.823	284.382	113.776	1.216	73.884	7.338	8.009	2499.382	25.309	
8/14/2021	11:43:35	23.29		8.3002	8.9552	---	9.2489	17.712	17.712	17.712	17.712	994.52	65.324	17.712	---	---	21.931	22.946	-60.027	22.819	284.414	113.769	1.217	73.886	7.320	7.988	2499.383	25.228	
8/14/2021	11:43:36	24.37		8.2992	8.9580	---	9.2612	17.711	17.711	17.711	17.711	994.53	65.344	17.711	---	---	21.933	22.943	59.930	22.804	284.466	113.761	1.216	73.892	7.328	7.971	2499.385	25.203	
8/14/2021	11:43:37	25.45		8.2953	8.9655	---	9.2534	17.708	17.708	17.708	17.708	994.52	65.355	17.708	---	---	21.940	22.935	-60.008	22.815	284.478	113.750	1.217	73.884	7.373	7.965	2499.384	25.374	
8/14/2021	11:43:38	26.57		8.2918	8.9651	---	9.2687	17.702	17.702	17.702	17.702	994.53	65.365	17.702	---	---	21.946	22.937	59.991	22.797	284.509	113.751	1.218	73.921	7.358	7.966	2499.388	25.576	
8/14/2021	11:43:39	27.65		8.2855	8.9674	---	9.2639	17.701	17.701	17.701	17.701	994.54	65.365	17.701	---	---	21.956	22.935	-59.969	22.804	284.585	113.762	1.217	73.938	7.384	8.013	2499.387	25.826	
8/14/2021	11:43:40	28.74		8.2825	8.9576	---	9.2750	17.698	17.698	17.698	17.698	994.54	65.365	17.698	---	---	21.961	22.948	-59.924	22.791	284.650	113.782	1.217	73.951	7.318	7.974	2499.383	25.810	
8/14/2021	11:43:41	29.81		8.2831	8.9565	---	9.2729	17.698	17.698	17.698	17.698	994.57	65.355	17.698	---	---	21.960	22.950	-179.909	22.794	284.679	113.791	1.217	73.945	7.364	8.009	2499.383	25.767	
8/14/2021	11:43:42	30.90		8.2839	8.9510	---	9.2773	17.697	17.697	17.697	17.697	994.55	65.344	17.697	---	---	21.959	22.957	-59.985	22.789	284.676	113.778	1.214	73.943	7.392	7.986	2499.385	25.746	
8/14/2021	11:43:43	31.99		8.2854	8.9537	---	9.2633	17.698	17.698	17.698	17.698	994.54	65.334	17.698	---	---	21.957	22.953	59.962	22.805	284.670	113.775	1.213	73.927	7.414	8.026	2499.394	25.518	
8/14/2021	11:43:44	33.07		8.2819	8.9505	---	9.2519	17.702	17.702	17.702	17.702	994.52	65.334	17.702	---	---	21.960	22.956	59.955	22.818	284.680	113.779	1.212	73.895	7.419	7.980	2499.395	25.260	
8/14/2021	11:43:46	34.15		8.2816	8.9528	---	9.2394	17.708	17.708	17.708	17.708	994.52	65.334	17.708	---	---	21.959	22.951	59.964	22.832	284.649	113.780	1.216	73.852	7.395	7.972	2499.394	24.943	
8/14/2021	11:43:47	35.23		8.2769	8.9495	---	9.2459	17.715	17.715	17.715	17.715	994.56	65.334	17.715	---	---	21.963	22.953	-59.969	22.821	284.669	113.800	1.216	73.837	7.383	7.959	2499.384	24.638	
8/14/2021	11:43:48	36.34		8.2740	8.9498	---	9.2394	17.724	17.724	17.724	17.724	994.58	65.334	17.724	---	---	21.964	22.949	-59.929	22.827	284.658	113.815	1.216	73.838	7.380	7.984	2499.381	24.844	
8/14/2021	11:43:49	37.41		8.2728	8.9482	---	9.2337	17.731	17.731	17.731	17.731	994.57	65.334	17.731	---	---	21.963	22.949	-59.903	22.831	284.678	113.822	1.216	73.847	7.334	7.982	2499.376	24.977	
8/14/2021	11:43:50	38.49		8.2729	8.9527	---	9.2206	17.735	17.735	17.735	17.735	994.53	65.334	17.735	---	---	21.962	22.942	-59.790	22.847	284.698	113.805	1.216	73.867	7.341	7.992	2499.382	25.360	
8/14/2021	11:43:51	39.59		8.2741	8.9542	---	9.2165	17.735	17.735	17.735	17.735	994.50	65.334	17.735	---	---	21.960	22.940	60.084	22.852	284.745	113.784	1.216	73.855	7.283	7.976	2499.384	25.256	
8/14/2021	11:43:52	40.67		8.2706	8.9588	---	9.2375	17.733	17.733	17.733	17.733	994.51	65.334	17.733	---	---	21.965	22.935	60.015	22.826	284.774	113.775	1.217	73.880	7.285	7.997	2499.385	25.251	
8/14/2021	11:43:53	41.75		8.2677	8.9540	---	9.2523	17.730	17.730	17.730	17.730	994.52	65.334	17.730	---	---	21.970	22.942	59.855	22.808	284.823	113.755	1.216	73.873	7.297	7.982	2499.383	25.357	
