
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/16/2021	11:15:17	0.00		7.5052	7.7751	---	8.2553	20.171	20.171	20.171	20.171	990.56	65.586	20.171	---	---	22.268	23.757	179.855	23.307	296.710	121.012	1.216	83.284	7.362	7.958	2499.393	18.822	
8/16/2021	11:15:18	1.53		7.5038	7.7634	---	8.2480	20.169	20.169	20.169	20.169	990.58	65.586	20.169	---	---	22.271	23.775	179.874	23.318	296.588	121.003	1.215	83.291	7.362	7.943	2499.389	19.030	
8/16/2021	11:15:20	2.61		7.5017	7.7601	---	8.2424	20.169	20.169	20.169	20.169	990.60	65.594	20.169	---	---	22.274	23.780	179.881	23.326	296.508	121.041	1.214	83.280	7.377	7.912	2499.394	19.332	
8/16/2021	11:15:21	3.69		7.5012	7.7708	---	8.2323	20.168	20.168	20.168	20.168	990.60	65.601	20.168	---	---	22.275	23.764	179.905	23.341	296.445	121.066	1.215	83.283	7.385	7.933	2499.396	19.897	
8/16/2021	11:15:22	4.85		7.5045	7.7727	---	8.2408	20.170	20.170	20.170	20.170	990.59	65.609	20.170	---	---	22.270	23.761	59.935	23.328	296.476	121.105	1.215	83.323	7.359	7.938	2499.396	20.157	
8/16/2021	11:15:23	5.93		7.5065	7.7691	---	8.2299	20.171	20.171	20.171	20.171	990.60	65.609	20.171	---	---	22.266	23.766	-60.013	23.343	296.426	121.097	1.217	83.364	7.413	7.960	2499.391	20.288	
8/16/2021	11:15:24	7.06		7.5123	7.7684	---	8.2437	20.170	20.170	20.170	20.170	990.60	65.609	20.170	---	---	22.258	23.768	-179.826	23.324	296.386	121.063	1.218	83.394	7.425	7.938	2499.391	20.545	
8/16/2021	11:15:25	8.13		7.5118	7.7745	---	8.2322	20.168	20.168	20.168	20.168	990.60	65.609	20.168	---	---	22.259	23.759	-59.831	23.341	296.279	120.988	1.218	83.411	7.386	7.974	2499.395	20.642	
8/16/2021	11:15:26	9.22		7.5184	7.7911	---	8.2409	20.166	20.166	20.166	20.166	990.58	65.619	20.166	---	---	22.250	23.735	-59.709	23.329	296.155	120.888	1.218	83.460	7.341	7.987	2499.411	20.975	
8/16/2021	11:15:27	10.31		7.5203	7.8086	---	8.2277	20.164	20.164	20.164	20.164	990.61	65.630	20.164	---	---	22.247	23.709	-59.780	23.348	295.944	120.749	1.216	83.491	7.260	7.998	2499.413	21.085	
8/16/2021	11:15:28	11.41		7.5305	7.8329	---	8.2249	20.164	20.164	20.164	20.164	990.62	65.640	20.164	---	---	22.232	23.673	-59.866	23.352	295.730	120.584	1.217	83.550	7.306	7.972	2499.423	21.501	
8/16/2021	11:15:29	12.49		7.5352	7.8619	---	8.2270	20.165	20.165	20.165	20.165	990.62	65.640	20.165	---	---	22.224	23.630	59.891	23.349	295.530	120.397	1.216	83.586	7.293	7.962	2499.410	21.814	
8/16/2021	11:15:31	13.57		7.5462	7.8853	---	8.2261	20.168	20.168	20.168	20.168	990.58	65.640	20.168	---	---	22.206	23.594	179.806	23.349	295.315	120.220	1.218	83.641	7.361	8.003	2499.409	22.284	
8/16/2021	11:15:32	14.65		7.5539	7.9041	---	8.2245	20.165	20.165	20.165	20.165	990.56	65.640	20.165	---	---	22.195	23.567	179.876	23.353	295.059	120.046	1.219	83.674	7.313	8.016	2499.394	22.734	
8/16/2021	11:15:33	15.73		7.5666	7.9135	---	8.2081	20.166	20.166	20.166	20.166	990.56	65.647	20.166	---	---	22.176	23.553	59.972	23.376	294.770	119.884	1.217	83.688	7.325	8.035	2499.400	23.169	
8/16/2021	11:15:34	16.86		7.5744	7.9314	---	8.2023	20.165	20.165	20.165	20.165	990.57	65.655	20.165	---	---	22.164	23.527	-59.992	23.384	294.490	119.751	1.217	83.687	7.284	8.029	2499.404	23.534	
8/16/2021	11:15:35	17.93		7.5855	7.9513	---	8.2032	20.168	20.168	20.168	20.168	990.58	65.672	20.168	---	---	22.146	23.497	-179.969	23.382	294.249	119.596	1.216	83.682	7.300	8.035	2499.407	23.863	
8/16/2021	11:15:36	19.01		7.5934	7.9709	---	8.2166	20.169	20.169	20.169	20.169	990.60	65.683	20.169	---	---	22.134	23.468	-59.977	23.362	293.971	119.445	1.217	83.673	7.302	8.021	2499.401	24.194	
8/16/2021	11:15:37	20.11		7.6087	7.9865	---	8.2208	20.169	20.169	20.169	20.169	990.62	65.693	20.169	---	---	22.111	23.445	59.834	23.356	293.699	119.255	1.218	83.659	7.309	8.027	2499.396	24.455	
8/16/2021	11:15:38	21.20		7.6200	8.0090	---	8.2149	20.172	20.172	20.172	20.172	990.62	65.703	20.172	---	---	22.093	23.411	179.756	23.364	293.453	119.101	1.218	83.613	7.408	8.053	2499.396	24.746	
8/16/2021	11:15:39	22.28		7.6324	8.0265	---	8.2186	20.173	20.173	20.173	20.173	990.63	65.713	20.173	---	---	22.074	23.385	59.774	23.358	293.230	118.955	1.218	83.555	7.481	8.129	2499.401	24.961	
8/16/2021	11:15:40	23.36		7.6397	8.0463	---	8.2249	20.174	20.174	20.174	20.174	990.63	65.713	20.174	---	---	22.063	23.356	-59.972	23.349	293.025	118.820	1.217	83.498	7.519	8.088	2499.403	25.399	
8/16/2021	11:15:41	24.45		7.6488	8.0566	---	8.2389	20.175	20.175	20.175	20.175	990.65	65.685	20.175	---	---	22.049	23.341	-179.828	23.329	292.764	118.682	1.218	83.471	7.454	8.059	2499.401	25.494	
8/16/2021	11:15:42	25.53		7.6596	8.0706	---	8.2485	20.176	20.176	20.176	20.176	990.63	65.658	20.176	---	---	22.032	23.320	-59.877	23.315	292.542	118.545	1.219	83.464	7.377	8.036	2499.405	25.855	
