
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.056	24.001	989	100.000	20.950	52.726	21.863	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.480	26.202	989	100.000	20.950	52.794	20.560	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.557	26.479	989	100.000	20.950	52.533	20.889	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.694	26.947	989	100.000	20.950	52.802	21.166	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/17/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/17/2021	11:21:15	0.00		8.3379	8.0678	7.9900	7.8677	24.747	24.747	24.747	24.747	992.49	65.487	24.747	---	---	21.443	20.702	21.163	21.658	301.818	245.175	288.927	319.336	4.791	4.279	4.331	8.029	
8/17/2021	11:21:16	1.00		8.3406	8.0652	7.9903	7.8675	24.748	24.748	24.748	24.748	992.51	65.370	24.748	---	---	21.439	20.706	21.163	21.658	301.809	245.164	288.920	319.374	4.804	4.279	4.332	8.049	
8/17/2021	11:21:17	2.00		8.3399	8.0611	7.9872	7.8666	24.749	24.749	24.749	24.749	992.53	65.271	24.749	---	---	21.440	20.711	21.167	21.659	301.823	245.196	288.932	319.490	4.800	4.280	4.341	8.116	
8/17/2021	11:21:18	3.00		8.3369	8.0569	7.9869	7.8633	24.748	24.748	24.748	24.748	992.53	65.199	24.748	---	---	21.444	20.717	21.167	21.664	301.832	245.222	288.950	319.525	4.795	4.292	4.338	8.130	
8/17/2021	11:21:19	4.00		8.3365	8.0563	7.9874	7.8606	24.749	24.749	24.749	24.749	992.54	65.136	24.749	---	---	21.444	20.718	21.166	21.667	301.820	245.284	288.954	319.572	4.787	4.303	4.341	8.117	
8/17/2021	11:21:20	5.00		8.3344	8.0579	7.9838	7.8575	24.750	24.750	24.750	24.750	992.52	65.093	24.750	---	---	21.447	20.715	21.171	21.671	301.818	245.301	288.990	319.622	4.779	4.302	4.353	8.103	
8/17/2021	11:21:21	6.00		8.3377	8.0607	7.9827	7.8597	24.752	24.752	24.752	24.752	992.52	65.068	24.752	---	---	21.442	20.711	21.172	21.668	301.844	245.293	288.992	319.698	4.749	4.301	4.373	8.126	
8/17/2021	11:21:22	7.00		8.3346	8.0588	7.9794	7.8579	24.753	24.753	24.753	24.753	992.46	65.060	24.753	---	---	21.446	20.713	21.176	21.670	301.875	245.289	289.016	319.783	4.745	4.297	4.388	8.148	
8/17/2021	11:21:23	8.00		8.3350	8.0559	7.9837	7.8567	24.752	24.752	24.752	24.752	992.46	65.060	24.752	---	---	21.445	20.717	21.171	21.672	301.895	245.311	289.030	319.858	4.770	4.300	4.363	8.085	
8/17/2021	11:21:24	9.00		8.3320	8.0527	7.9853	7.8489	24.751	24.751	24.751	24.751	992.46	65.060	24.751	---	---	21.450	20.722	21.169	21.684	301.886	245.366	289.086	319.915	4.788	4.293	4.339	7.942	
8/17/2021	11:21:25	10.00		8.3346	8.0506	7.9875	7.8458	24.748	24.748	24.748	24.748	992.54	65.060	24.748	---	---	21.447	20.726	21.166	21.689	301.883	245.424	289.112	319.985	4.754	4.286	4.332	7.808	
8/17/2021	11:21:26	11.00		8.3365	8.0511	7.9852	7.8430	24.745	24.745	24.745	24.745	992.55	65.060	24.745	---	---	21.445	20.726	21.171	21.694	301.878	245.464	289.120	320.101	4.740	4.271	4.345	7.769	
8/17/2021	11:21:27	12.00		8.3347	8.0520	7.9822	7.8409	24.747	24.747	24.747	24.747	992.48	65.078	24.747	---	---	21.447	20.724	21.174	21.697	301.910	245.406	289.136	320.202	4.755	4.274	4.344	7.780	
