
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/17/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/17/2021	10:50:44	0.00		7.3147	7.9938	---	8.1903	24.694	24.694	24.694	24.694	992.47	73.520	24.694	---	---	21.146	22.003	60.930	21.968	282.755	113.876	1.099	84.635	7.390	7.640	609.225	8.761	
8/17/2021	10:50:46	1.46		7.3155	7.9970	---	8.1827	24.689	24.689	24.689	24.689	992.46	73.503	24.689	---	---	21.146	22.000	59.281	21.980	282.696	113.651	1.107	84.630	7.295	7.598	590.078	8.517	
8/17/2021	10:50:47	2.54		7.3182	7.9989	---	8.1849	24.685	24.685	24.685	24.685	992.50	73.485	24.685	---	---	21.143	21.998	59.355	21.978	282.717	113.577	1.136	84.616	7.273	7.634	603.878	8.395	
8/17/2021	10:50:48	3.62		7.3175	7.9982	---	8.1841	24.681	24.681	24.681	24.681	992.47	73.465	24.681	---	---	21.145	22.001	58.414	21.980	282.738	113.661	1.143	84.566	7.270	7.626	603.917	8.345	
8/17/2021	10:50:49	4.75		7.3176	7.9984	---	8.2033	24.679	24.679	24.679	24.679	992.47	73.454	24.679	---	---	21.146	22.001	-58.479	21.954	282.805	113.526	1.157	84.560	7.372	7.686	622.500	8.546	
8/17/2021	10:50:50	5.83		7.3166	8.0020	---	8.2108	24.679	24.679	24.679	24.679	992.44	73.436	24.679	---	---	21.147	21.996	-178.168	21.943	282.851	113.489	1.107	84.526	7.261	7.636	620.340	8.600	
8/17/2021	10:50:51	6.96		7.3125	8.0012	---	8.2148	24.679	24.679	24.679	24.679	992.45	73.439	24.679	---	---	21.154	21.997	-59.533	21.938	282.872	113.313	1.112	84.592	7.229	7.656	618.060	8.622	
8/17/2021	10:50:52	8.04		7.3081	7.9951	---	8.1985	24.679	24.679	24.679	24.679	992.44	73.442	24.679	---	---	21.161	22.006	-60.228	21.961	282.849	113.416	1.072	84.529	7.167	7.550	615.418	8.487	
8/17/2021	10:50:53	9.14		7.3075	7.9840	---	8.2050	24.677	24.677	24.677	24.677	992.42	73.460	24.677	---	---	21.162	22.023	59.509	21.953	282.870	113.469	1.084	84.538	7.209	7.485	611.151	8.440	
8/17/2021	10:50:54	10.22		7.3071	7.9842	---	8.1968	24.677	24.677	24.677	24.677	992.44	73.449	24.677	---	---	21.163	22.022	-59.164	21.964	282.860	113.474	1.067	84.499	7.270	7.461	605.889	8.399	
8/17/2021	10:50:55	11.31		7.3071	7.9849	---	8.1928	24.677	24.677	24.677	24.677	992.45	73.449	24.677	---	---	21.163	22.021	-58.947	21.969	282.882	113.462	1.090	84.554	7.302	7.494	601.639	8.460	
8/17/2021	10:50:57	12.38		7.3073	7.9915	---	8.1774	24.677	24.677	24.677	24.677	992.49	73.442	24.677	---	---	21.162	22.012	-178.700	21.991	282.869	113.446	1.126	84.601	7.364	7.592	588.498	8.448	
8/17/2021	10:50:58	13.46		7.3055	7.9926	---	8.1742	24.674	24.674	24.674	24.674	992.46	73.442	24.674	---	---	21.166	22.011	-59.070	21.996	282.908	113.446	1.140	84.640	7.357	7.605	581.937	8.450	
8/17/2021	10:50:59	14.54		7.3072	7.9933	---	8.1781	24.666	24.666	24.666	24.666	992.43	73.442	24.666	---	---	21.166	22.012	-58.986	21.993	282.934	113.462	1.124	84.632	7.336	7.664	583.924	8.519	
8/17/2021	10:51:00	15.62		7.3054	7.9862	---	8.1926	24.657	24.657	24.657	24.657	992.43	73.442	24.657	---	---	21.171	22.026	-59.136	21.976	282.977	113.493	1.101	84.628	7.352	7.641	598.456	8.718	
8/17/2021	10:51:01	16.70		7.3089	7.9832	---	8.1969	24.645	24.645	24.645	24.645	992.47	73.452	24.645	---	---	21.169	22.033	-60.069	21.973	282.975	113.533	1.084	84.599	7.255	7.553	608.516	8.633	
8/17/2021	10:51:02	17.78		7.3057	7.9827	---	8.1991	24.642	24.642	24.642	24.642	992.51	73.452	24.642	---	---	21.175	22.035	58.277	21.971	283.002	113.504	1.094	84.607	7.287	7.509	609.059	8.577	
8/17/2021	10:51:03	18.84		7.3039	7.9869	---	8.1887	24.646	24.646	24.646	24.646	992.50	73.452	24.646	---	---	21.177	22.028	177.807	21.984	283.034	113.503	1.081	84.636	7.302	7.550	606.837	8.595	
8/17/2021	10:51:04	19.92		7.3030	7.9818	---	8.1897	24.657	24.657	24.657	24.657	992.47	73.449	24.657	---	---	21.175	22.031	177.853	21.979	283.060	113.459	1.104	84.658	7.305	7.566	605.573	8.613	
8/17/2021	10:51:05	21.00		7.3012	7.9813	---	8.1859	24.662	24.662	24.662	24.662	992.43	73.457	24.662	---	---	21.176	22.031	178.401	21.983	283.087	113.496	1.094	84.649	7.305	7.592	601.003	8.602	
8/17/2021	10:51:06	22.08		7.3019	7.9792	---	8.1851	24.665	24.665	24.665	24.665	992.43	73.475	24.665	---	---	21.174	22.033	178.235	21.983	283.104	113.492	1.094	84.612	7.221	7.486	600.323	8.378	
8/17/2021	10:51:07	23.16		7.3004	7.9703	---	8.1806	24.669	24.669	24.669	24.669	992.46	73.495	24.669	---	---	21.176	22.045	178.952	21.989	283.152	113.517	1.079	84.591	7.255	7.553	596.078	8.323	
8/17/2021	10:51:08	24.24		7.2992	7.9657	---	8.1835	24.676	24.676	24.676	24.676	992.51	73.513	24.676	---	---	21.175	22.049	59.850	21.983	283.177	113.512	1.087	84.599	7.317	7.593	600.710	8.410	
8/17/2021	10:51:10	25.31		7.2975	7.9617	---	8.1806	24.683	24.683	24.683	24.683	992.52	73.520	24.683	---	---	21.176	22.053	60.116	21.985	283.210	113.525	1.101	84.617	7.392	7.624	601.660	8.491	
8/17/2021	10:51:11	26.40		7.2936	7.9676	---	8.1817	24.687	24.687	24.687	24.687	992.53	73.518	24.687	---	---	21.181	22.043	-59.666	21.982	283.241	113.542	1.129	84.634	7.403	7.582	606.311	8.643	
8/17/2021	10:51:12	27.49		7.2904	7.9640	---	8.1896	24.694	24.694	24.694	24.694	992.53	73.518	24.694	---	---	21.184	22.046	58.996	21.969	283.261	113.546	1.137	84.665	7.362	7.518	605.966	8.584	
8/17/2021	10:51:13	28.57		7.2908	7.9565	---	8.1930	24.697	24.697	24.697	24.697	992.52	73.508	24.697	---	---	21.182	22.056	-60.119	21.963	283.278	113.557	1.132	84.668	7.245	7.472	606.143	8.677	
8/17/2021	10:51:14	30.20		7.2899	7.9519	---	8.1961	24.696	24.696	24.696	24.696	992.48	73.518	24.696	---	---	21.184	22.063	59.819	21.959	283.278	113.605	1.133	84.695	7.270	7.484	606.235	8.737	
8/17/2021	10:51:15	31.28		7.2879	7.9563	---	8.1911	24.692	24.692	24.692	24.692	992.46	73.518	24.692	---	---	21.188	22.058	59.923	21.967	283.281	113.635	1.116	84.696	7.266	7.575	603.861	8.737	
8/17/2021	10:51:17	32.36		7.2821	7.9476	---	8.1849	24.695	24.695	24.695	24.695	992.45	73.528	24.695	---	---	21.196	22.069	179.054	21.975	283.304	113.665	1.113	84.689	7.386	7.621	599.527	8.575	
8/17/2021	10:51:18	33.44		7.2792	7.9415	---	8.1707	24.702	24.702	24.702	24.702	992.45	73.528	24.702	---	---	21.199	22.076	178.427	21.993	283.366	113.651	1.091	84.681	7.384	7.719	596.676	8.568	
8/17/2021	10:51:19	34.52		7.2795	7.9298	---	8.1681	24.710	24.710	24.710	24.710	992.45	73.538	24.710	---	---	21.196	22.090	59.779	21.994	283.403	113.662	1.104	84.677	7.387	7.706	597.741	8.581	
8/17/2021	10:51:20	35.59		7.2760	7.9320	---	8.1603	24.712	24.712	24.712	24.712	992.46	73.549	24.712	---	---	21.201	22.086	-59.622	22.004	283.437	113.689	1.093	84.716	7.412	7.791	601.082	8.646	
8/17/2021	10:51:21	36.67		7.2756	7.9380	---	8.1713	24.712	24.712	24.712	24.712	992.46	73.559	24.712	---	---	21.201	22.078	-59.261	21.989	283.451	113.728	1.095	84.714	7.391	7.673	602.804	8.508	
8/17/2021	10:51:22	37.75		7.2735	7.9377	---	8.1738	24.713	24.713	24.713	24.713	992.47	73.549	24.713	---	---	21.204	22.078	-59.838	21.985	283.470	113.772	1.092	84.712	7.324	7.562	603.180	8.350	
