ID,fas_available,time_round,min_start_real,temp
D_A01,3.296732236,65,Max,19
D_A02,2.881966787,65,Max,19
D_A03,3.493271912,65,Max,19
D_A05,3.015201099,65,Max,19
D_A07,4.253754109,65,Max,19
D_A08,4.12659727,65,Max,19
D_A09,4.894289217,65,Max,19
D_A10,4.137783947,65,Max,19
D_H01,2.532118869,65,Max,26
D_H02,3.287580689,65,Max,26
D_H03,3.193317673,65,Max,26
D_H04,2.534058992,65,Max,26
D_H05,2.791574572,65,Max,26
D_H06,3.287610366,65,Max,26
D_H07,2.803690912,65,Max,26
D_H09,2.528842706,65,Max,26
D_H10,2.25593591,65,Max,26
D_H11,2.413479256,65,Max,26
D_I01,3.166265438,65,Max,22
D_I02,3.297080262,65,Max,22
D_I03,3.342569367,65,Max,22
D_I04,2.352898224,65,Max,22
D_I05,3.77865016,65,Max,22
D_I07,3.340832188,65,Max,22
D_I09,3.617868055,65,Max,22
D_I10,3.897253361,65,Max,22
D_I11,3.282197344,65,Max,22
