ID,fas_available,time_round,min_start_real,temp
S_A01,6.700638555,65,Max,16
S_A02,6.608248852,65,Max,16
S_A03,7.146272899,65,Max,16
S_A04,6.526835301,65,Max,16
S_A05,7.40764311,65,Max,16
S_A06,9.191781454,65,Max,16
S_A08,6.664689588,65,Max,16
S_1901,5.754069768,65,Max,19
S_1902,4.885467868,65,Max,19
S_1903,3.797836159,65,Max,19
S_1904,6.156305167,65,Max,19
S_1905,5.628465904,65,Max,19
S_1906,5.426542219,65,Max,19
S_1907,5.083562286,65,Max,19
S_1908,4.395967071,65,Max,19
S_1909,5.712200021,65,Max,19
S_1910,5.648495178,65,Max,19
S_2202,1.995711955,65,Max,22
S_2203,6.241007952,65,Max,22
S_2204,3.462646336,65,Max,22
S_2205,4.934709558,65,Max,22
S_2207,4.573890755,65,Max,22
S_2208,4.566490859,65,Max,22
S_2209,3.866097488,65,Max,22
S_2210,2.554812641,65,Max,22
S_2501,2.301478402,65,Max,25
S_2502,2.601132836,65,Max,25
S_2503,2.376271539,65,Max,25
S_2504,2.717697207,65,Max,25
S_2506,2.311309512,65,Max,25
S_2507,2.390953924,65,Max,25
S_2508,2.118167713,65,Max,25
S_2509,2.408718113,65,Max,25
S_2510,2.053828742,65,Max,25
,,,,
,9.191781454,,,
