
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-214	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.083	31.888	925	100.000	20.950	53.117	21.678	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.050	31.225	925	100.000	20.950	53.179	21.812	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.954	34.587	925	100.000	20.950	52.650	20.246	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.681	33.639	925	100.000	20.950	53.037	21.189	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/14/2021	12:01:15	0.00		7.3457	6.8678	6.7612	6.8221	27.475	27.475	27.475	27.475	924.85	22.917	27.475	---	---	21.737	22.600	21.396	22.206	257.012	284.237	258.505	265.836	4.760	4.552	6.128	69.350	
7/14/2021	12:01:17	1.66		7.3434	6.8722	6.7654	6.8295	27.478	27.478	27.478	27.478	924.84	22.905	27.478	---	---	21.739	22.592	21.388	22.192	257.026	284.046	258.382	265.667	4.745	4.578	6.135	69.278	
7/14/2021	12:01:18	2.74		7.3413	6.8791	6.7715	6.8307	27.483	27.483	27.483	27.483	924.86	22.892	27.483	---	---	21.741	22.579	21.377	22.189	257.001	283.899	258.241	265.553	4.737	4.597	6.140	69.071	
7/14/2021	12:01:19	3.81		7.3398	6.8857	6.7777	6.8346	27.476	27.476	27.476	27.476	924.85	22.892	27.476	---	---	21.746	22.570	21.369	22.184	256.995	283.758	258.116	265.501	4.720	4.613	6.139	68.948	
7/14/2021	12:01:20	4.89		7.3411	6.8923	6.7830	6.8416	27.466	27.466	27.466	27.466	924.86	22.864	27.466	---	---	21.746	22.561	21.363	22.175	256.973	283.691	257.991	265.397	4.716	4.591	6.115	68.850	
7/14/2021	12:01:21	6.05		7.3455	6.8962	6.7883	6.8473	27.453	27.453	27.453	27.453	924.89	22.823	27.453	---	---	21.743	22.559	21.358	22.170	256.983	283.581	257.890	265.266	4.728	4.569	6.097	68.897	
7/14/2021	12:01:22	7.12		7.3479	6.8994	6.7938	6.8543	27.447	27.447	27.447	27.447	924.93	22.755	27.447	---	---	21.741	22.555	21.350	22.160	256.979	283.490	257.804	265.135	4.734	4.565	6.092	68.864	
7/14/2021	12:01:24	8.20		7.3487	6.9021	6.8001	6.8590	27.445	27.445	27.445	27.445	924.87	22.701	27.445	---	---	21.741	22.551	21.340	22.152	256.991	283.382	257.702	265.030	4.763	4.565	6.110	69.007	
7/14/2021	12:01:25	9.36		7.3491	6.9083	6.8106	6.8649	27.445	27.445	27.445	27.445	924.87	22.633	27.445	---	---	21.740	22.541	21.323	22.142	257.005	283.312	257.611	264.910	4.759	4.578	6.125	68.981	
7/14/2021	12:01:26	10.45		7.3486	6.9124	6.8150	6.8681	27.447	27.447	27.447	27.447	924.86	22.564	27.447	---	---	21.740	22.533	21.315	22.136	256.976	283.242	257.508	264.839	4.747	4.555	6.122	69.055	
7/14/2021	12:01:27	11.62		7.3469	6.9157	6.8197	6.8704	27.450	27.450	27.450	27.450	924.93	22.483	27.450	---	---	21.742	22.527	21.306	22.132	256.966	283.147	257.434	264.757	4.731	4.574	6.120	68.959	
7/14/2021	12:01:28	12.70		7.3440	6.9186	6.8211	6.8731	27.452	27.452	27.452	27.452	924.92	22.401	27.452	---	---	21.746	22.522	21.304	22.127	256.972	283.065	257.358	264.707	4.710	4.553	6.120	68.920	
7/14/2021	12:01:29	13.78		7.3457	6.9237	6.8255	6.8744	27.451	27.451	27.451	27.451	924.90	22.320	27.451	---	---	21.744	22.513	21.297	22.125	256.991	282.950	257.292	264.643	4.740	4.550	6.119	68.775	
