
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	OFF	XB7-536-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	32.313	23.840	1012	100.000	20.950	51.478	21.896	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	31.333	25.686	1012	100.000	20.950	52.341	22.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.737	25.358	1012	100.000	20.950	52.476	22.656	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.009	26.167	1012	100.000	20.950	52.438	22.715	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/14/2021	11:59:50	0.00		6.6974	7.5385	---	7.3947	27.547	27.547	27.547	27.547	925.42	19.205	27.547	---	---	23.400	23.193	-59.980	23.312	103.614	36.942	1.223	44.790	7.382	8.382	2499.187	74.167	
7/14/2021	11:59:51	1.29		6.7260	7.5441	---	7.4100	27.545	27.545	27.545	27.545	925.45	19.232	27.545	---	---	23.352	23.185	59.761	23.288	103.383	36.888	1.228	44.760	7.311	8.227	2499.209	74.081	
7/14/2021	11:59:52	2.43		6.7482	7.5821	---	7.4258	27.542	27.542	27.542	27.542	925.50	19.273	27.542	---	---	23.315	23.127	59.810	23.265	103.160	36.829	1.218	44.741	7.217	8.197	2499.214	73.792	
7/14/2021	11:59:53	3.45		6.7638	7.5853	---	7.4207	27.536	27.536	27.536	27.536	925.50	19.301	27.536	---	---	23.290	23.124	179.603	23.274	102.948	36.796	1.216	44.747	7.207	8.170	2499.151	73.554	
7/14/2021	11:59:54	4.51		6.7833	7.5974	---	7.4230	27.534	27.534	27.534	27.534	925.43	19.370	27.534	---	---	23.258	23.107	59.855	23.272	102.766	36.768	1.217	44.746	7.138	8.176	2499.157	73.307	
7/14/2021	11:59:55	5.61		6.8053	7.6157	---	7.4124	27.538	27.538	27.538	27.538	925.41	19.479	27.538	---	---	23.220	23.078	59.708	23.287	102.577	36.753	1.222	44.775	7.206	8.218	2499.161	73.227	
7/14/2021	11:59:56	6.66		6.8283	7.6178	---	7.4248	27.552	27.552	27.552	27.552	925.42	19.588	27.552	---	---	23.177	23.070	-60.058	23.263	102.398	36.725	1.226	44.787	7.121	8.167	2499.174	73.239	
7/14/2021	11:59:57	7.72		6.8379	7.6426	---	7.4142	27.569	27.569	27.569	27.569	925.43	19.670	27.569	---	---	23.156	23.028	-59.816	23.275	102.227	36.688	1.212	44.864	7.077	8.175	2499.193	73.316	
7/14/2021	11:59:58	8.76		6.8576	7.6308	---	7.4201	27.576	27.576	27.576	27.576	925.43	19.698	27.576	---	---	23.122	23.044	-59.965	23.264	102.079	36.651	1.206	44.938	6.990	8.103	2499.213	73.378	
7/14/2021	11:59:59	9.82		6.8845	7.6410	---	7.4099	27.570	27.570	27.570	27.570	925.43	19.724	27.570	---	---	23.079	23.030	-59.735	23.282	101.927	36.624	1.201	45.020	6.944	8.052	2499.260	73.300	
7/14/2021	12:00:00	10.90		6.9250	7.6287	---	7.4126	27.548	27.548	27.548	27.548	925.43	19.736	27.548	---	---	23.018	23.055	-59.919	23.284	101.759	36.617	1.211	45.184	7.131	8.136	2499.225	73.417	
7/14/2021	12:00:01	11.89		6.9465	7.6505	---	7.3995	27.534	27.534	27.534	27.534	925.39	19.749	27.534	---	---	22.987	23.026	-179.151	23.308	101.547	36.537	1.225	45.480	7.297	8.208	2499.213	73.303	
7/14/2021	12:00:02	12.89		6.9716	7.6694	---	7.3886	27.527	27.527	27.527	27.527	925.38	19.764	27.527	---	---	22.948	23.000	-179.251	23.327	101.369	36.473	1.231	45.769	7.330	8.198	2499.211	73.289	
7/14/2021	12:00:03	13.88		6.9841	7.6964	---	7.4009	27.528	27.528	27.528	27.528	925.38	19.779	27.528	---	---	22.927	22.959	-59.518	23.308	101.134	36.351	1.232	46.063	7.372	8.261	2499.260	73.359	
7/14/2021	12:00:05	14.98		7.0048	7.7004	---	7.4185	27.523	27.523	27.523	27.523	925.38	19.807	27.523	---	---	22.894	22.954	59.990	23.281	100.943	36.180	1.221	46.240	7.177	8.247	2499.287	73.502	
