
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-214	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.083	31.888	925	100.000	20.950	53.117	21.678	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.050	31.225	925	100.000	20.950	53.179	21.812	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.954	34.587	925	100.000	20.950	52.650	20.246	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.681	33.639	925	100.000	20.950	53.037	21.189	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/16/2021	10:02:48	0.00		7.9596	7.7060	7.7261	7.6954	22.232	22.232	22.232	22.232	927.33	27.045	22.232	---	---	22.397	22.864	21.443	22.405	303.906	236.647	273.821	266.852	4.829	4.699	6.540	83.971	
7/16/2021	10:02:49	1.08		7.9589	7.7082	7.7297	7.6931	22.232	22.232	22.232	22.232	927.35	27.098	22.232	---	---	22.398	22.861	21.437	22.409	304.012	242.258	276.962	267.070	4.840	4.695	6.548	83.900	
7/16/2021	10:02:51	2.17		7.9590	7.7114	7.7274	7.6898	22.233	22.233	22.233	22.233	927.33	27.164	22.233	---	---	22.398	22.856	21.441	22.414	303.952	255.125	277.156	267.050	4.842	4.680	6.574	84.786	
7/16/2021	10:02:52	3.24		7.9602	7.7022	7.7258	7.6851	22.232	22.232	22.232	22.232	927.37	27.218	22.232	---	---	22.396	22.870	21.443	22.421	304.247	242.832	277.260	267.032	4.860	4.671	6.588	85.410	
7/16/2021	10:02:53	4.32		7.9601	7.6971	7.7209	7.6848	22.234	22.234	22.234	22.234	927.35	27.258	22.234	---	---	22.395	22.877	21.450	22.421	304.442	228.197	277.358	266.986	4.874	4.664	6.595	85.580	
7/16/2021	10:02:54	5.39		7.9564	7.6908	7.7159	7.6858	22.239	22.239	22.239	22.239	927.35	27.284	22.239	---	---	22.399	22.885	21.456	22.418	304.372	214.748	277.290	266.903	4.867	4.677	6.582	85.539	
7/16/2021	10:02:55	6.46		7.9544	7.6972	7.7146	7.6832	22.240	22.240	22.240	22.240	927.31	27.296	22.240	---	---	22.402	22.875	21.457	22.421	303.845	226.508	277.454	266.909	4.833	4.674	6.588	85.504	
7/16/2021	10:02:56	7.54		7.9537	7.7013	7.7111	7.6836	22.239	22.239	22.239	22.239	927.31	27.309	22.239	---	---	22.404	22.869	21.463	22.421	303.425	225.124	277.389	266.933	4.816	4.682	6.569	85.322	
7/16/2021	10:02:57	8.61		7.9555	7.7056	7.7097	7.6816	22.239	22.239	22.239	22.239	927.31	27.309	22.239	---	---	22.401	22.863	21.465	22.424	303.346	227.329	277.812	266.975	4.817	4.687	6.586	85.365	
7/16/2021	10:02:58	9.68		7.9536	7.7007	7.7017	7.6809	22.243	22.243	22.243	22.243	927.32	27.309	22.243	---	---	22.402	22.869	21.475	22.424	303.384	222.173	278.863	266.994	4.834	4.700	6.582	85.174	
7/16/2021	10:02:59	10.76		7.9508	7.6988	7.6965	7.6775	22.245	22.245	22.245	22.245	927.30	27.309	22.245	---	---	22.406	22.871	21.483	22.428	303.448	232.461	279.430	266.980	4.847	4.700	6.590	85.005	
7/16/2021	10:03:00	11.83		7.9505	7.6951	7.6932	7.6770	22.244	22.244	22.244	22.244	927.30	27.309	22.244	---	---	22.407	22.877	21.488	22.429	303.501	236.444	279.274	267.087	4.856	4.685	6.575	85.011	
7/16/2021	10:03:01	12.91		7.9532	7.6999	7.6967	7.6775	22.239	22.239	22.239	22.239	927.33	27.309	22.239	---	---	22.404	22.871	21.484	22.430	303.598	244.844	278.874	267.165	4.855	4.654	6.561	84.988	
7/16/2021	10:03:02	13.99		7.9545	7.6957	7.6967	7.6778	22.238	22.238	22.238	22.238	927.36	27.296	22.238	---	---	22.403	22.878	21.484	22.430	303.632	243.784	279.079	267.167	4.842	4.654	6.557	85.052	
7/16/2021	10:03:03	15.06		7.9559	7.6935	7.6893	7.6772	22.238	22.238	22.238	22.238	927.38	27.271	22.238	---	---	22.401	22.881	21.495	22.431	303.661	241.663	280.604	267.125	4.832	4.664	6.554	85.078	
7/16/2021	10:03:05	16.76		7.9549	7.6887	7.6815	7.6746	22.240	22.240	22.240	22.240	927.33	27.258	22.240	---	---	22.402	22.888	21.507	22.434	303.667	242.972	281.597	267.139	4.833	4.687	6.558	84.729	
7/16/2021	10:03:06	17.83		7.9556	7.6844	7.6696	7.6720	22.245	22.245	22.245	22.245	927.32	27.258	22.245	---	---	22.399	22.893	21.523	22.437	303.697	242.299	282.588	267.237	4.839	4.676	6.544	84.406	
7/16/2021	10:03:07	18.91		7.9559	7.6750	7.6636	7.6672	22.251	22.251	22.251	22.251	927.30	27.271	22.251	---	---	22.397	22.905	21.530	22.442	303.761	246.737	282.563	267.298	4.859	4.663	6.537	84.323	
7/16/2021	10:03:08	19.98		7.9555	7.6687	7.6502	7.6678	22.257	22.257	22.257	22.257	927.33	27.271	22.257	---	---	22.395	22.913	21.547	22.439	303.791	244.805	281.965	267.370	4.873	4.675	6.550	84.717	
7/16/2021	10:03:09	21.05		7.9525	7.6558	7.6422	7.6647	22.262	22.262	22.262	22.262	927.34	27.243	22.262	---	---	22.398	22.931	21.558	22.442	303.821	246.283	281.175	267.403	4.857	4.672	6.566	84.834	
7/16/2021	10:03:11	22.14		7.9520	7.6441	7.6315	7.6646	22.265	22.265	22.265	22.265	927.37	27.202	22.265	---	---	22.398	22.948	21.573	22.441	303.830	242.389	280.436	267.482	4.853	4.673	6.551	83.664	
7/16/2021	10:03:12	23.22		7.9496	7.6271	7.6246	7.6631	22.272	22.272	22.272	22.272	927.36	27.174	22.272	---	---	22.399	22.972	21.581	22.441	303.843	240.813	280.202	267.447	4.838	4.650	6.525	83.272	
7/16/2021	10:03:13	24.30		7.9492	7.6167	7.6168	7.6634	22.277	22.277	22.277	22.277	927.35	27.174	22.277	---	---	22.398	22.986	21.591	22.439	303.869	239.423	280.247	267.474	4.847	4.670	6.521	83.448	
7/16/2021	10:03:14	25.39		7.9464	7.6029	7.6126	7.6636	22.282	22.282	22.282	22.282	927.33	27.149	22.282	---	---	22.401	23.006	21.596	22.438	303.888	241.327	280.293	267.446	4.836	4.668	6.546	84.987	
7/16/2021	10:03:15	26.46		7.9461	7.5964	7.6116	7.6578	22.280	22.280	22.280	22.280	927.34	27.083	22.280	---	---	22.402	23.016	21.598	22.447	303.921	240.398	280.254	267.423	4.837	4.680	6.582	85.515	
7/16/2021	10:03:16	27.54		7.9440	7.5908	7.6117	7.6537	22.277	22.277	22.277	22.277	927.35	27.004	22.277	---	---	22.406	23.026	21.599	22.454	303.935	243.048	280.192	267.501	4.840	4.668	6.596	85.789	
7/16/2021	10:03:17	28.64		7.9451	7.5893	7.6094	7.6489	22.277	22.277	22.277	22.277	927.38	26.976	22.277	---	---	22.404	23.028	21.602	22.461	303.923	243.898	280.223	267.562	4.836	4.677	6.605	85.721	
7/16/2021	10:03:18	29.72		7.9451	7.5817	7.6031	7.6491	22.281	22.281	22.281	22.281	927.34	26.976	22.281	---	---	22.403	23.039	21.610	22.460	303.915	238.717	278.966	267.758	4.849	4.673	6.623	86.797	
7/16/2021	10:03:19	30.89		7.9511	7.5777	7.6004	7.6476	22.277	22.277	22.277	22.277	927.35	26.989	22.277	---	---	22.395	23.046	21.615	22.463	303.897	238.178	278.982	267.745	4.852	4.684	6.625	87.105	
7/16/2021	10:03:20	31.97		7.9515	7.5796	7.5989	7.6498	22.272	22.272	22.272	22.272	927.32	26.976	22.272	---	---	22.396	23.045	21.619	22.462	303.870	240.943	278.971	267.770	4.847	4.675	6.618	87.144	
