
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1019	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.193	928	100.000	20.950	53.025	21.621	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.427	928	100.000	20.950	53.098	20.987	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.657	928	100.000	20.950	53.800	22.969	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.787	928	100.000	20.950	53.700	22.363	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/16/2021	10:10:06	0.00		7.6198	7.6784	7.7748	7.7720	22.762	22.762	22.762	22.762	927.97	25.875	22.762	---	---	22.359	21.644	23.360	22.765	218.884	236.420	177.977	260.314	4.239	4.448	5.367	26.426	
7/16/2021	10:10:08	1.49		7.6082	7.6746	7.7744	7.7713	22.767	22.767	22.767	22.767	927.97	25.875	22.767	---	---	22.375	21.648	23.360	22.765	218.057	236.439	178.010	260.299	4.267	4.457	5.339	26.503	
7/16/2021	10:10:09	2.59		7.5994	7.6740	7.7746	7.7680	22.771	22.771	22.771	22.771	927.98	25.875	22.771	---	---	22.387	21.648	23.358	22.768	217.487	236.486	178.040	260.322	4.193	4.442	5.355	26.528	
7/16/2021	10:10:10	3.80		7.5902	7.6775	7.7729	7.7659	22.774	22.774	22.774	22.774	927.97	25.862	22.774	---	---	22.400	21.642	23.360	22.771	216.767	236.526	178.035	260.358	4.247	4.469	5.354	26.610	
7/16/2021	10:10:11	5.05		7.5826	7.6736	7.7655	7.7672	22.772	22.772	22.772	22.772	927.96	25.850	22.772	---	---	22.412	21.648	23.372	22.769	216.630	236.567	178.042	260.403	4.222	4.426	5.329	26.628	
7/16/2021	10:10:13	6.13		7.5747	7.6757	7.7600	7.7672	22.768	22.768	22.768	22.768	927.95	25.837	22.768	---	---	22.425	21.646	23.381	22.770	216.438	236.593	178.057	260.412	4.200	4.407	5.284	26.741	
7/16/2021	10:10:14	7.21		7.5693	7.6738	7.7588	7.7685	22.767	22.767	22.767	22.767	927.92	25.837	22.767	---	---	22.434	21.650	23.383	22.769	217.004	236.608	178.083	260.402	4.183	4.407	5.324	26.904	
7/16/2021	10:10:15	8.29		7.5618	7.6770	7.7624	7.7676	22.764	22.764	22.764	22.764	927.89	25.837	22.764	---	---	22.446	21.646	23.379	22.771	217.373	236.627	178.097	260.376	4.235	4.423	5.312	26.935	
7/16/2021	10:10:16	9.36		7.5582	7.6716	7.7631	7.7716	22.760	22.760	22.760	22.760	927.91	25.850	22.760	---	---	22.453	21.655	23.379	22.766	217.605	236.596	178.071	260.220	4.262	4.423	5.274	26.752	
7/16/2021	10:10:17	10.44		7.5531	7.6709	7.7607	7.7745	22.756	22.756	22.756	22.756	927.94	25.862	22.756	---	---	22.462	21.657	23.384	22.763	217.815	236.530	178.038	260.053	4.201	4.386	5.183	26.516	
7/16/2021	10:10:18	11.53		7.5468	7.6704	7.7572	7.7720	22.755	22.755	22.755	22.755	927.97	25.875	22.755	---	---	22.472	21.658	23.390	22.767	218.053	236.410	177.977	259.822	4.124	4.390	5.222	26.468	
7/16/2021	10:10:19	12.60		7.5441	7.6721	7.7519	7.7700	22.755	22.755	22.755	22.755	927.97	25.875	22.755	---	---	22.476	21.656	23.398	22.770	218.321	236.285	177.959	259.773	4.151	4.400	5.239	26.481	
7/16/2021	10:10:20	13.68		7.5368	7.6709	7.7577	7.7698	22.755	22.755	22.755	22.755	927.96	25.875	22.755	---	---	22.487	21.657	23.389	22.770	218.410	236.287	177.953	259.660	4.130	4.390	5.269	26.565	
