
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1019	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.193	928	100.000	20.950	53.025	21.621	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.427	928	100.000	20.950	53.098	20.987	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.657	928	100.000	20.950	53.800	22.969	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.787	928	100.000	20.950	53.700	22.363	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/16/2021	10:40:03	0.00		7.0121	7.2119	7.0959	7.2268	22.898	22.898	22.898	22.898	927.79	25.532	22.898	---	---	23.283	22.322	24.407	23.580	225.964	249.803	187.803	262.806	4.131	4.478	5.273	22.718	
7/16/2021	10:40:04	1.58		7.0251	7.2249	7.1086	7.2355	22.921	22.921	22.921	22.921	927.81	25.639	22.921	---	---	23.254	22.294	24.378	23.558	225.641	249.519	187.555	262.499	4.189	4.465	5.161	22.660	
7/16/2021	10:40:05	2.69		7.0409	7.2343	7.1212	7.2462	22.945	22.945	22.945	22.945	927.81	25.733	22.945	---	---	23.220	22.272	24.349	23.533	225.310	249.231	187.314	262.241	4.321	4.558	5.121	22.596	
7/16/2021	10:40:07	3.79		7.0455	7.2413	7.1279	7.2521	22.968	22.968	22.968	22.968	927.81	25.773	22.968	---	---	23.205	22.253	24.330	23.516	225.020	249.013	187.085	262.030	4.235	4.565	5.159	22.587	
7/16/2021	10:40:08	4.88		7.0627	7.2493	7.1431	7.2684	22.964	22.964	22.964	22.964	927.82	25.814	22.964	---	---	23.177	22.242	24.306	23.491	224.775	248.801	186.918	261.832	4.260	4.585	5.183	22.548	
7/16/2021	10:40:09	5.99		7.0818	7.2620	7.1583	7.2812	22.947	22.947	22.947	22.947	927.81	25.867	22.947	---	---	23.151	22.227	24.286	23.475	224.500	248.585	186.715	261.614	4.226	4.516	5.124	22.505	
7/16/2021	10:40:10	7.09		7.0999	7.2736	7.1757	7.2937	22.925	22.925	22.925	22.925	927.81	25.946	22.925	---	---	23.128	22.215	24.264	23.462	224.246	248.412	186.593	261.399	4.273	4.497	5.114	22.525	
7/16/2021	10:40:11	8.17		7.1159	7.2853	7.1860	7.3041	22.911	22.911	22.911	22.911	927.80	26.028	22.911	---	---	23.106	22.201	24.251	23.449	224.008	248.239	186.421	261.206	4.160	4.470	5.134	22.616	
7/16/2021	10:40:12	9.26		7.1260	7.2932	7.1959	7.3123	22.910	22.910	22.910	22.910	927.80	26.107	22.910	---	---	23.090	22.189	24.235	23.437	223.803	248.115	186.299	260.996	4.125	4.447	5.127	22.602	
7/16/2021	10:40:13	10.35		7.1357	7.3014	7.2026	7.3221	22.910	22.910	22.910	22.910	927.80	26.160	22.910	---	---	23.074	22.176	24.224	23.421	223.638	247.987	186.119	260.784	4.069	4.362	5.101	22.623	
7/16/2021	10:40:14	11.44		7.1436	7.3121	7.2141	7.3297	22.899	22.899	22.899	22.899	927.79	26.226	22.899	---	---	23.065	22.162	24.208	23.412	223.470	247.850	186.004	260.590	4.213	4.405	5.136	22.582	
7/16/2021	10:40:15	12.54		7.1575	7.3203	7.2301	7.3432	22.880	22.880	22.880	22.880	927.81	26.292	22.880	---	---	23.048	22.155	24.188	23.396	223.329	247.683	185.855	260.451	4.158	4.382	5.157	22.595	
7/16/2021	10:40:16	13.63		7.1761	7.3284	7.2464	7.3589	22.863	22.863	22.863	22.863	927.82	26.386	22.863	---	---	23.023	22.148	24.166	23.376	223.219	247.551	185.734	260.304	4.213	4.396	5.168	22.577	
