
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB6-532-208	3	ON External	20.000	OFF	1018	0.000	15%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.901	23.516	989	100.000	20.950	53.004	21.317	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.268	22.776	989	100.000	20.950	52.909	21.266	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.556	21.727	989	100.000	20.950	52.824	22.574	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.877	21.155	989	100.000	20.950	52.756	21.842	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/25/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/25/2022	11:13:13	0.00		8.7200	8.6795	8.6725	8.6027	19.910	19.910	19.910	19.910	988.25	20.858	19.910	---	---	21.854	21.787	23.017	22.317	259.149	246.200	276.367	269.215	4.704	4.678	6.183	25.668	
7/25/2022	11:13:14	1.09		8.7203	8.6791	8.6694	8.6008	19.914	19.914	19.914	19.914	988.27	20.954	19.914	---	---	21.852	21.787	23.020	22.319	259.122	246.217	276.409	269.234	4.720	4.688	6.209	25.628	
7/25/2022	11:13:15	2.00		8.7276	8.6791	8.6714	8.5993	19.914	19.914	19.914	19.914	988.26	21.130	19.914	---	---	21.842	21.787	23.018	22.321	259.074	246.233	276.440	269.269	4.704	4.715	6.207	26.499	
7/25/2022	11:13:16	3.00		8.7290	8.6796	8.6725	8.6006	19.911	19.911	19.911	19.911	988.28	21.292	19.911	---	---	21.841	21.787	23.017	22.320	259.037	246.236	276.427	269.262	4.700	4.705	6.221	26.827	
7/25/2022	11:13:17	4.00		8.7339	8.6777	8.6733	8.6041	19.907	19.907	19.907	19.907	988.24	21.386	19.907	---	---	21.836	21.791	23.017	22.316	259.007	246.200	276.432	269.258	4.670	4.701	6.209	27.367	
7/25/2022	11:13:18	5.00		8.7323	8.6745	8.6722	8.6058	19.906	19.906	19.906	19.906	988.24	21.374	19.906	---	---	21.839	21.795	23.019	22.314	258.990	246.168	276.419	269.256	4.671	4.697	6.207	27.308	
7/25/2022	11:13:19	6.00		8.7307	8.6762	8.6709	8.6035	19.910	19.910	19.910	19.910	988.24	21.308	19.910	---	---	21.840	21.792	23.020	22.316	258.973	246.189	276.426	269.246	4.685	4.689	6.185	27.336	
7/25/2022	11:13:20	7.00		8.7307	8.6758	8.6706	8.6040	19.915	19.915	19.915	19.915	988.25	21.214	19.915	---	---	21.838	21.791	23.018	22.314	259.828	246.212	276.417	269.222	4.720	4.697	6.185	27.342	
7/25/2022	11:13:21	8.00		8.7330	8.6742	8.6703	8.6072	19.918	19.918	19.918	19.918	988.23	21.107	19.918	---	---	21.834	21.792	23.018	22.309	261.243	246.197	276.401	269.184	4.731	4.694	6.174	27.343	
7/25/2022	11:13:22	9.00		8.7403	8.6733	8.6740	8.6111	19.916	19.916	19.916	19.916	988.24	20.998	19.916	---	---	21.825	21.793	23.013	22.304	262.862	246.156	276.401	269.133	4.711	4.703	6.184	27.354	
7/25/2022	11:13:23	10.00		8.7401	8.6774	8.6760	8.6134	19.913	19.913	19.913	19.913	988.27	20.901	19.913	---	---	21.826	21.789	23.012	22.302	263.777	246.127	276.386	269.091	4.713	4.706	6.189	27.376	
7/25/2022	11:13:24	11.00		8.7425	8.6809	8.6783	8.6153	19.907	19.907	19.907	19.907	988.29	20.832	19.907	---	---	21.825	21.786	23.011	22.301	264.203	246.135	276.364	269.040	4.712	4.703	6.206	27.394	
7/25/2022	11:13:25	12.00		8.7436	8.6818	8.6788	8.6204	19.902	19.902	19.902	19.902	988.26	20.792	19.902	---	---	21.825	21.787	23.012	22.296	264.504	246.134	276.311	268.982	4.714	4.683	6.237	26.470	
